CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
-4.60264,-2.82023,-2.01706,-2.08375,-3.1295,-2.53482,-1.18093,1.21649,1.32653,-3.48634,-4.38319,-3.86674,-2.08375,-3.88817,-2.69116,-1.18093,0.597362,0.520467,-3.48634,-2.10626,-2.15215,-4.60264,-1.64966,-1.19656,-1.18093,0.788499,0.732474,-3.48634,0.788397,1.06023,-4.60264,0.469007,0.27219,-2.08375,0.680232,0.734833
-4.52006,-2.76741,-1.98055,-2.05466,-3.07152,-2.49899,-1.15568,1.17225,1.29831,-3.44005,-4.32721,-3.81627,-2.05466,-3.8318,-2.65406,-1.15568,0.58543,0.507711,-3.44005,-2.08195,-2.12397,-4.52006,-1.63227,-1.17546,-1.15568,0.75686,0.716239,-3.44005,0.783358,1.0464,-4.52006,0.466926,0.267667,-2.05466,0.669747,0.724714
-4.43748,-2.71459,-1.94403,-2.02557,-3.01354,-2.46316,-1.13044,1.12801,1.27009,-3.39376,-4.27123,-3.7658,-2.02557,-3.77544,-2.61697,-1.13044,0.573499,0.494955,-3.39376,-2.05764,-2.09579,-4.43748,-1.61488,-1.15435,-1.13044,0.725222,0.700004,-3.39376,0.778318,1.03257,-4.43748,0.464846,0.263144,-2.02557,0.659262,0.714596
-4.35491,-2.66177,-1.90752,-1.99648,-2.95556,-2.42733,-1.10519,1.08377,1.24188,-3.34746,-4.21525,-3.71533,-1.99648,-3.71907,-2.57988,-1.10519,0.561568,0.482198,-3.34746,-2.03333,-2.06761,-4.35491,-1.59749,-1.13325,-1.10519,0.693583,0.683769,-3.34746,0.773279,1.01874,-4.35491,0.462766,0.25862,-1.99648,0.648778,0.704477
-4.27233,-2.60895,-1.87101,-1.96739,-2.89759,-2.3915,-1.07994,1.03952,1.21366,-3.30117,-4.15927,-3.66486,-1.96739,-3.66271,-2.54279,-1.07994,0.549637,0.469442,-3.30117,-2.00902,-2.03944,-4.27233,-1.5801,-1.11214,-1.07994,0.661945,0.667533,-3.30117,0.76824,1.00491,-4.27233,0.460686,0.254097,-1.96739,0.638293,0.694358
-4.18976,-2.55613,-1.8345,-1.9383,-2.83961,-2.35568,-1.05469,0.995285,1.18544,-3.25488,-4.10328,-3.61439,-1.9383,-3.60635,-2.50569,-1.05469,0.537706,0.456686,-3.25488,-1.98471,-2.01126,-4.18976,-1.56271,-1.09104,-1.05469,0.630307,0.651298,-3.25488,0.763201,0.991076,-4.18976,0.458606,0.249573,-1.9383,0.627808,0.68424
-4.10718,-2.50331,-1.79798,-1.90922,-2.78163,-2.31985,-1.02944,0.951044,1.15723,-3.20859,-4.0473,-3.56392,-1.90922,-3.54998,-2.4686,-1.02944,0.525775,0.44393,-3.20859,-1.9604,-1.98308,-4.10718,-1.54532,-1.06994,-1.02944,0.598668,0.635063,-3.20859,0.758161,0.977246,-4.10718,0.456525,0.24505,-1.90922,0.617323,0.674121
-4.02461,-2.45049,-1.76147,-1.88013,-2.72365,-2.28402,-1.0042,0.906804,1.12901,-3.1623,-3.99132,-3.51345,-1.88013,-3.49362,-2.43151,-1.0042,0.513843,0.431174,-3.1623,-1.93609,-1.9549,-4.02461,-1.52793,-1.04883,-1.0042,0.56703,0.618828,-3.1623,0.753122,0.963415,-4.02461,0.454445,0.240527,-1.88013,0.606838,0.664002
-3.94203,-2.39767,-1.72496,-1.85104,-2.66567,-2.24819,-0.978948,0.862564,1.10079,-3.116,-3.93534,-3.46298,-1.85104,-3.43725,-2.39441,-0.978948,0.501912,0.418417,-3.116,-1.91178,-1.92673,-3.94203,-1.51054,-1.02773,-0.978948,0.535391,0.602593,-3.116,0.748083,0.949584,-3.94203,0.452365,0.236003,-1.85104,0.596354,0.653883
-3.85946,-2.34485,-1.68844,-1.82195,-2.60769,-2.21236,-0.9537,0.818324,1.07257,-3.06971,-3.87936,-3.41251,-1.82195,-3.38089,-2.35732,-0.9537,0.489981,0.405661,-3.06971,-1.88747,-1.89855,-3.85946,-1.49316,-1.00662,-0.9537,0.503753,0.586357,-3.06971,0.743044,0.935753,-3.85946,0.450285,0.23148,-1.82195,0.585869,0.643765
-3.77688,-2.29204,-1.65193,-1.79286,-2.54971,-2.17653,-0.928452,0.774083,1.04436,-3.02342,-3.82338,-3.36204,-1.79286,-3.32453,-2.32023,-0.928452,0.47805,0.392905,-3.02342,-1.86316,-1.87037,-3.77688,-1.47577,-0.985519,-0.928452,0.472115,0.570122,-3.02342,0.738005,0.921922,-3.77688,0.448204,0.226956,-1.79286,0.575384,0.633646
-3.69431,-2.23922,-1.61542,-1.76377,-2.49173,-2.1407,-0.903204,0.729843,1.01614,-2.97713,-3.7674,-3.31157,-1.76377,-3.26816,-2.28313,-0.903204,0.466119,0.380149,-2.97713,-1.83885,-1.8422,-3.69431,-1.45838,-0.964415,-0.903204,0.440476,0.553887,-2.97713,0.732965,0.908092,-3.69431,0.446124,0.222433,-1.76377,0.564899,0.623527
-3.61173,-2.1864,-1.57891,-1.73468,-2.43375,-2.10487,-0.877956,0.685603,0.987922,-2.93083,-3.71141,-3.2611,-1.73468,-3.2118,-2.24604,-0.877956,0.454188,0.367392,-2.93083,-1.81454,-1.81402,-3.61173,-1.44099,-0.943311,-0.877956,0.408838,0.537652,-2.93083,0.727926,0.894261,-3.61173,0.444044,0.21791,-1.73468,0.554414,0.613409
-3.52916,-2.13358,-1.54239,-1.70559,-2.37577,-2.06905,-0.852708,0.641363,0.959705,-2.88454,-3.65543,-3.21063,-1.70559,-3.15543,-2.20895,-0.852708,0.442256,0.354636,-2.88454,-1.79022,-1.78584,-3.52916,-1.4236,-0.922207,-0.852708,0.377199,0.521417,-2.88454,0.722887,0.88043,-3.52916,0.441964,0.213386,-1.70559,0.543929,0.60329
