CL_abscissa,CL_cdf,Vc_abscissa,Vc_cdf,Q1_abscissa,Q1_cdf,Vp1_abscissa,Vp1_cdf,split
0.329183,0.047619,1.62273,0.047619,0.00176936,0.047619,1.87757,0,All
1.31119,0.0952381,3.28361,0.0952381,0.00556426,0.0952381,3.52288,0.047619,All
3.00237,0.142857,4.61515,0.142857,0.0365307,0.142857,5.43885,0.0952381,All
5.58446,0.190476,5.07427,0.190476,0.0826806,0.190476,6.51334,0.142857,All
8.01494,0.238095,9.97378,0.238095,0.0863029,0.238095,6.56297,0.190476,All
10.6207,0.285714,10.7652,0.285714,0.0921695,0.285714,6.57868,0.238095,All
11.0029,0.333333,11.2263,0.333333,0.12539,0.333333,7.59971,0.285714,All
11.3023,0.380952,11.5966,0.380952,0.138059,0.380952,9.7229,0.333333,All
12.7388,0.428571,11.8427,0.428571,0.147271,0.428571,9.87828,0.380952,All
14.3062,0.47619,13.3047,0.47619,0.154761,0.47619,12.0046,0.428571,All
15.9289,0.52381,14.5166,0.52381,0.169404,0.52381,12.3251,0.47619,All
16.8199,0.571429,14.816,0.571429,0.211024,0.571429,12.5035,0.52381,All
17.2326,0.619048,15.0758,0.619048,0.216116,0.619048,12.8301,0.571429,All
17.5903,0.666667,17.6956,0.666667,0.307557,0.666667,14.5049,0.619048,All
18.2941,0.714286,20.9915,0.714286,0.316993,0.714286,14.7944,0.666667,All
18.6513,0.761905,24.0668,0.761905,0.325743,0.761905,15.7577,0.714286,All
19.0968,0.809524,24.4559,0.809524,0.378393,0.809524,17.2291,0.761905,All
21.4395,0.857143,26.2797,0.857143,0.602802,0.857143,17.5873,0.809524,All
22.4949,0.904762,26.7826,0.904762,0.819855,0.904762,18.2273,0.857143,All
25.6944,0.952381,26.9011,0.952381,0.874127,0.952381,18.6451,0.904762,All
32.1941,1,28.902,1,6.28278,1,21.7812,0.952381,All
79.6056,1,75.2444,1,6.28278,1,42.8982,1,All
79.6056,1,75.2444,1,6.28278,1,70.1366,1,All
