CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
0.329183,0.0043651,0.000416105,1.62273,0.0103252,0.00459149,0.00176936,2.33362,0.0021045,1.87757,0.0262108,0.0169156,All
1.12995,0.0328606,0.0154,2.36638,0.0216465,0.0164413,0.065214,3.14063,0.267931,2.56705,0.0390271,0.0395942,All
1.93073,0.0510968,0.0498684,3.11003,0.0322053,0.0365777,0.128659,1.89127,0.422087,3.25654,0.0482805,0.0699015,All
2.7315,0.059082,0.0944979,3.85369,0.0405327,0.0637775,0.192103,1.28957,0.521021,3.94602,0.0541657,0.105395,All
3.53227,0.061263,0.142959,4.59734,0.0464085,0.0962507,0.255548,0.945378,0.591021,4.63551,0.0573648,0.143977,All
4.33304,0.060381,0.191806,5.34099,0.0501124,0.132262,0.318992,0.726748,0.643589,5.325,0.0585737,0.184043,All
5.13381,0.0579458,0.239253,6.08465,0.0520641,0.170349,0.382437,0.577844,0.684694,6.01448,0.0583704,0.224425,All
5.93458,0.0547828,0.284418,6.8283,0.0526745,0.209365,0.445882,0.471238,0.717797,6.70397,0.0571992,0.264312,All
6.73535,0.0513451,0.326918,7.57195,0.0522956,0.248447,0.509326,0.391988,0.745064,7.39345,0.0553884,0.303155,All
7.53613,0.0478812,0.366643,8.3156,0.0512104,0.28697,0.572771,0.331312,0.767927,8.08294,0.0531762,0.340599,All
8.3369,0.0445245,0.403631,9.05926,0.0496385,0.324493,0.636215,0.283739,0.787379,8.77242,0.0507328,0.376431,All
9.13767,0.0413433,0.437998,9.80291,0.0477465,0.360719,0.69966,0.245702,0.804131,9.46191,0.0481781,0.410533,All
9.93844,0.0383682,0.469899,10.5466,0.045659,0.395458,0.763105,0.214784,0.818706,10.1514,0.0455959,0.442861,All
10.7392,0.0356086,0.499504,11.2902,0.0434678,0.428602,0.826549,0.189298,0.8315,10.8409,0.0430434,0.473416,All
11.54,0.0330619,0.526985,12.0339,0.0412397,0.460099,0.889994,0.168032,0.842815,11.5304,0.040559,0.502232,All
12.3408,0.0307187,0.552509,12.7775,0.0390225,0.489941,0.953438,0.150099,0.852891,12.2199,0.0381674,0.529367,All
13.1415,0.0285663,0.576233,13.5212,0.0368499,0.518149,1.01688,0.134835,0.861918,12.9093,0.0358836,0.554889,All
13.9423,0.0265909,0.598306,14.2648,0.0347447,0.544765,1.08033,0.121734,0.870046,13.5988,0.0337159,0.578876,All
14.7431,0.0247782,0.618863,15.0085,0.0327219,0.569845,1.14377,0.110406,0.877402,14.2883,0.0316675,0.601409,All
15.5438,0.0231143,0.638029,15.7521,0.0307908,0.593455,1.20722,0.100545,0.884087,14.9778,0.0297384,0.622572,All
16.3446,0.0215861,0.655918,16.4958,0.0289563,0.615664,1.27066,0.0919085,0.890186,15.6673,0.0279263,0.642445,All
17.1454,0.0201815,0.672633,17.2394,0.0272202,0.636546,1.33411,0.0843031,0.895771,16.3568,0.0262273,0.661107,All
17.9462,0.0188893,0.68827,17.9831,0.0255821,0.656174,1.39755,0.0775718,0.900901,17.0463,0.0246365,0.678636,All
18.7469,0.0176993,0.702913,18.7267,0.0240401,0.674619,1.461,0.0715863,0.905629,17.7357,0.0231486,0.695104,All
19.5477,0.0166021,0.71664,19.4704,0.022591,0.691952,1.52444,0.0662412,0.909998,18.4252,0.021758,0.71058,All
20.3485,0.0155895,0.729524,20.2141,0.0212313,0.70824,1.58788,0.0614492,0.914046,19.1147,0.0204587,0.725129,All
21.1492,0.0146537,0.741628,20.9577,0.0199567,0.72355,1.65133,0.0571372,0.917806,19.8042,0.0192452,0.738812,All
21.95,0.013788,0.753011,21.7014,0.0187628,0.737942,1.71477,0.0532439,0.921305,20.4937,0.018112,0.751686,All
22.7508,0.0129861,0.763727,22.445,0.0176452,0.751475,1.77822,0.0497174,0.92457,21.1832,0.0170536,0.763805,All
23.5516,0.0122426,0.773825,23.1887,0.0165993,0.764204,1.84166,0.0465136,0.927621,21.8727,0.016065,0.775218,All
24.3523,0.0115523,0.783348,23.9323,0.0156208,0.77618,1.90511,0.0435949,0.930478,22.5621,0.0151414,0.785973,All
