pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-0.574654,0.00294118,-1.10701,0.00294118,-0.775535,0.00294118,All
-0.514654,0.00588235,-1.10593,0.00588235,-0.542018,0.00588235,All
-0.494332,0.00882353,-1.10573,0.00882353,-0.517895,0.00882353,All
-0.476433,0.0117647,-1.10564,0.0117647,-0.505716,0.0117647,All
-0.443295,0.0147059,-1.10422,0.0147059,-0.481788,0.0147059,All
-0.44019,0.0176471,-1.1002,0.0176471,-0.472296,0.0176471,All
-0.439377,0.0205882,-1.09687,0.0205882,-0.455931,0.0205882,All
-0.435532,0.0235294,-1.0953,0.0235294,-0.439892,0.0235294,All
-0.429508,0.0264706,-1.09078,0.0264706,-0.430175,0.0264706,All
-0.42786,0.0294118,-1.09061,0.0294118,-0.427154,0.0294118,All
-0.424076,0.0323529,-1.08887,0.0323529,-0.421515,0.0323529,All
-0.422506,0.0352941,-1.08876,0.0352941,-0.417578,0.0352941,All
-0.42114,0.0382353,-1.08868,0.0382353,-0.412767,0.0382353,All
-0.420994,0.0411765,-1.08731,0.0411765,-0.407138,0.0411765,All
-0.419975,0.0441176,-1.08458,0.0441176,-0.404254,0.0441176,All
-0.417191,0.0470588,-1.07743,0.0470588,-0.387479,0.0470588,All
-0.408397,0.05,-1.07524,0.05,-0.38471,0.05,All
-0.404736,0.0529412,-1.0741,0.0529412,-0.378084,0.0529412,All
-0.401424,0.0558824,-1.07395,0.0558824,-0.363968,0.0558824,All
-0.401254,0.0588235,-1.07354,0.0588235,-0.357109,0.0588235,All
-0.400801,0.0617647,-1.07088,0.0617647,-0.339162,0.0617647,All
-0.397595,0.0647059,-1.06885,0.0647059,-0.328222,0.0647059,All
-0.392628,0.0676471,-1.06684,0.0676471,-0.324818,0.0676471,All
-0.391538,0.0705882,-1.06666,0.0705882,-0.322266,0.0705882,All
-0.39088,0.0735294,-1.0628,0.0735294,-0.321722,0.0735294,All
-0.388405,0.0764706,-1.05539,0.0764706,-0.317518,0.0764706,All
-0.384547,0.0794118,-1.05286,0.0794118,-0.313535,0.0794118,All
-0.375474,0.0823529,-1.04504,0.0823529,-0.311435,0.0823529,All
-0.372001,0.0852941,-1.04251,0.0852941,-0.30975,0.0852941,All
-0.368622,0.0882353,-1.03414,0.0882353,-0.306044,0.0882353,All
-0.364704,0.0911765,-1.02725,0.0911765,-0.298506,0.0911765,All
-0.358429,0.0941176,-1.01647,0.0941176,-0.29434,0.0941176,All
-0.358259,0.0970588,-1.01575,0.0970588,-0.293916,0.0970588,All
-0.357495,0.1,-1.01105,0.1,-0.293848,0.1,All
-0.353309,0.102941,-1.00481,0.102941,-0.291601,0.102941,All
-0.350943,0.105882,-1.00396,0.105882,-0.291466,0.105882,All
-0.348797,0.108824,-1.00373,0.108824,-0.291001,0.108824,All
-0.34047,0.111765,-1.00273,0.111765,-0.28184,0.111765,All
-0.338685,0.114706,-1.00144,0.114706,-0.281822,0.114706,All
-0.336563,0.117647,-0.998064,0.117647,-0.279831,0.117647,All
-0.332992,0.120588,-0.986392,0.120588,-0.279083,0.120588,All
-0.332667,0.123529,-0.97964,0.123529,-0.278171,0.123529,All
-0.33216,0.126471,-0.961254,0.126471,-0.278133,0.126471,All
-0.324683,0.129412,-0.954755,0.129412,-0.277223,0.129412,All
-0.324615,0.132353,-0.946663,0.132353,-0.273937,0.132353,All
-0.323546,0.135294,-0.9404,0.135294,-0.27051,0.135294,All
-0.319166,0.138235,-0.935905,0.138235,-0.27046,0.138235,All
-0.317246,0.141176,-0.934182,0.141176,-0.268664,0.141176,All
-0.316293,0.144118,-0.927696,0.144118,-0.266401,0.144118,All
-0.311927,0.147059,-0.926915,0.147059,-0.259805,0.147059,All
-0.311815,0.15,-0.919132,0.15,-0.239437,0.15,All
-0.311014,0.152941,-0.912452,0.152941,-0.238176,0.152941,All
-0.305017,0.155882,-0.912385,0.155882,-0.235248,0.155882,All
-0.303181,0.158824,-0.909012,0.158824,-0.234545,0.158824,All
-0.301288,0.161765,-0.908794,0.161765,-0.23435,0.161765,All
-0.300729,0.164706,-0.904168,0.164706,-0.233276,0.164706,All
-0.300507,0.167647,-0.903918,0.167647,-0.230373,0.167647,All
-0.300024,0.170588,-0.896196,0.170588,-0.228125,0.170588,All
-0.298613,0.173529,-0.895855,0.173529,-0.220427,0.173529,All
-0.294874,0.176471,-0.889327,0.176471,-0.220326,0.176471,All
-0.292687,0.179412,-0.883487,0.179412,-0.218412,0.179412,All
-0.292197,0.182353,-0.879908,0.182353,-0.218404,0.182353,All
-0.291935,0.185294,-0.879374,0.185294,-0.217266,0.185294,All
-0.291059,0.188235,-0.877002,0.188235,-0.21125,0.188235,All
-0.290811,0.191176,-0.875193,0.191176,-0.206889,0.191176,All
-0.288994,0.194118,-0.868286,0.194118,-0.203321,0.194118,All
-0.288456,0.197059,-0.867196,0.197059,-0.197997,0.197059,All
-0.28633,0.2,-0.851508,0.2,-0.191319,0.2,All
-0.281217,0.202941,-0.849919,0.202941,-0.190103,0.202941,All
-0.276971,0.205882,-0.841087,0.205882,-0.189603,0.205882,All
-0.276837,0.208824,-0.832694,0.208824,-0.188366,0.208824,All
-0.27513,0.211765,-0.824761,0.211765,-0.187933,0.211765,All
-0.275017,0.214706,-0.819671,0.214706,-0.186724,0.214706,All
-0.271976,0.217647,-0.817043,0.217647,-0.186,0.217647,All
-0.271433,0.220588,-0.812856,0.220588,-0.185017,0.220588,All
-0.270774,0.223529,-0.812637,0.223529,-0.178764,0.223529,All
-0.269895,0.226471,-0.810529,0.226471,-0.174223,0.226471,All
-0.269124,0.229412,-0.799803,0.229412,-0.172547,0.229412,All
-0.268224,0.232353,-0.79792,0.232353,-0.171277,0.232353,All
-0.268061,0.235294,-0.79453,0.235294,-0.168291,0.235294,All
-0.267587,0.238235,-0.791698,0.238235,-0.166966,0.238235,All
-0.265502,0.241176,-0.787693,0.241176,-0.165257,0.241176,All
-0.265188,0.244118,-0.773695,0.244118,-0.164821,0.244118,All
-0.265039,0.247059,-0.77069,0.247059,-0.162714,0.247059,All
-0.264425,0.25,-0.768577,0.25,-0.159246,0.25,All
-0.263668,0.252941,-0.766195,0.252941,-0.15767,0.252941,All
-0.262786,0.255882,-0.764565,0.255882,-0.150879,0.255882,All
-0.259775,0.258824,-0.757261,0.258824,-0.148195,0.258824,All
-0.259084,0.261765,-0.751453,0.261765,-0.146544,0.261765,All
-0.255261,0.264706,-0.748379,0.264706,-0.141024,0.264706,All
-0.254628,0.267647,-0.745684,0.267647,-0.139629,0.267647,All
-0.254159,0.270588,-0.740694,0.270588,-0.13754,0.270588,All
-0.252005,0.273529,-0.734118,0.273529,-0.134525,0.273529,All
-0.251822,0.276471,-0.728325,0.276471,-0.133184,0.276471,All
-0.25134,0.279412,-0.719165,0.279412,-0.129174,0.279412,All
-0.250192,0.282353,-0.708955,0.282353,-0.127891,0.282353,All
-0.24954,0.285294,-0.705618,0.285294,-0.127259,0.285294,All
-0.249435,0.288235,-0.701962,0.288235,-0.125686,0.288235,All
-0.249152,0.291176,-0.692199,0.291176,-0.123349,0.291176,All
-0.247949,0.294118,-0.688323,0.294118,-0.122705,0.294118,All
-0.247832,0.297059,-0.686212,0.297059,-0.122513,0.297059,All
-0.247748,0.3,-0.685093,0.3,-0.121419,0.3,All
-0.247285,0.302941,-0.680673,0.302941,-0.121262,0.302941,All
-0.247243,0.305882,-0.626115,0.305882,-0.120638,0.305882,All
-0.243196,0.308824,-0.616076,0.308824,-0.115419,0.308824,All
-0.243163,0.311765,-0.606734,0.311765,-0.105958,0.311765,All
-0.24154,0.314706,-0.602582,0.314706,-0.100906,0.314706,All
-0.23862,0.317647,-0.596367,0.317647,-0.0985609,0.317647,All
-0.238483,0.320588,-0.593466,0.320588,-0.0942067,0.320588,All
-0.238437,0.323529,-0.573767,0.323529,-0.0899415,0.323529,All
-0.238391,0.326471,-0.565267,0.326471,-0.0876662,0.326471,All
-0.238216,0.329412,-0.56483,0.329412,-0.0828718,0.329412,All
-0.234423,0.332353,-0.564709,0.332353,-0.0821805,0.332353,All
-0.233283,0.335294,-0.558476,0.335294,-0.0816327,0.335294,All
-0.231946,0.338235,-0.556643,0.338235,-0.0767974,0.338235,All
-0.230372,0.341176,-0.54726,0.341176,-0.0758224,0.341176,All
-0.229864,0.344118,-0.546556,0.344118,-0.0747383,0.344118,All
-0.22983,0.347059,-0.545882,0.347059,-0.0746923,0.347059,All
-0.228185,0.35,-0.53517,0.35,-0.0697627,0.35,All
-0.227923,0.352941,-0.531915,0.352941,-0.0679784,0.352941,All
-0.227134,0.355882,-0.526541,0.355882,-0.0658547,0.355882,All
-0.226939,0.358824,-0.5148,0.358824,-0.0642202,0.358824,All
-0.225066,0.361765,-0.511796,0.361765,-0.0614447,0.361765,All
-0.224508,0.364706,-0.509063,0.364706,-0.059659,0.364706,All
-0.224319,0.367647,-0.477787,0.367647,-0.0545638,0.367647,All
-0.223507,0.370588,-0.4698,0.370588,-0.052405,0.370588,All
-0.222616,0.373529,-0.468774,0.373529,-0.0505423,0.373529,All
-0.220852,0.376471,-0.461126,0.376471,-0.0501471,0.376471,All
-0.220235,0.379412,-0.460683,0.379412,-0.0331464,0.379412,All
-0.219912,0.382353,-0.451022,0.382353,-0.0258821,0.382353,All
-0.219746,0.385294,-0.447776,0.385294,-0.0228908,0.385294,All
-0.219038,0.388235,-0.445973,0.388235,-0.0149697,0.388235,All
-0.218954,0.391176,-0.445504,0.391176,-0.0118737,0.391176,All
-0.21873,0.394118,-0.444788,0.394118,-0.0103069,0.394118,All
-0.218595,0.397059,-0.441487,0.397059,-0.00610863,0.397059,All
