pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-0.156362,1.19904,-0.953645,0.777221,-0.68141,0.0164461,All
0.680222,0.0222044,-0.646924,0.474408,-0.493161,0.230246,All
1.51681,0.0111022,-0.340203,0.353282,-0.304912,0.805861,All
2.35339,0.0148029,-0.0334823,0.383564,-0.116662,1.10189,All
3.18997,0,0.273239,0.363376,0.0715868,1.08545,All
4.02656,0,0.57996,0.242251,0.259836,0.805861,All
4.86314,0.00370073,0.886681,0.242251,0.448085,0.592061,All
5.69973,0,1.1934,0.272532,0.636335,0.394708,All
6.53631,0,1.50012,0.131219,0.824584,0.148015,All
7.3729,0,1.80684,0.0706565,1.01283,0.0822307,All
8.20948,0,2.11356,0.0403751,1.20108,0.0986769,All
9.04606,0,2.42029,0.0201876,1.38933,0.0328923,All
9.88265,0.00370073,2.72701,0.0201876,1.57758,0,All
10.7192,0,3.03373,0,1.76583,0.131569,All
11.5558,0,3.34045,0.0201876,1.95408,0,All
12.3924,0,3.64717,0.0100938,2.14233,0.0328923,All
13.229,0,3.95389,0,2.33058,0,All
14.0656,0,4.26061,0,2.51883,0,All
14.9022,0.00370073,4.56733,0.0100938,2.70708,0.0328923,All
