standEta_CL_abscissa,standEta_CL_cdf,standEta_Vc_abscissa,standEta_Vc_cdf,standEta_Q1_abscissa,standEta_Q1_cdf,standEta_Vp1_abscissa,standEta_Vp1_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-3.34185,0.047619,-2.60517,0.047619,-2.86206,0.047619,-1.38437,0.047619,All
-2.01705,0.0952381,-1.72396,0.0952381,-2.1496,0.0952381,-0.875265,0.0952381,All
-1.22292,0.142857,-1.29838,0.142857,-0.979447,0.142857,-0.663924,0.142857,All
-0.628055,0.190476,-1.17981,0.190476,-0.471516,0.190476,-0.655025,0.190476,All
-0.28171,0.238095,-0.334935,0.238095,-0.444853,0.238095,-0.652223,0.238095,All
-0.0118835,0.285714,-0.23947,0.285714,-0.403957,0.285714,-0.483094,0.285714,All
0.0220126,0.333333,-0.18703,0.333333,-0.212558,0.333333,-0.194277,0.333333,All
0.0477468,0.380952,-0.146454,0.380952,-0.152708,0.380952,-0.175691,0.380952,All
0.162434,0.428571,-0.120204,0.428571,-0.11254,0.428571,0.0528456,0.428571,All
0.273661,0.47619,0.0253292,0.47619,-0.0816921,0.47619,0.0837331,0.47619,All
0.376653,0.52381,0.134316,0.52381,-0.0254769,0.52381,0.100579,0.52381,All
0.428824,0.571429,0.159845,0.571429,0.111132,0.571429,0.130804,0.571429,All
0.452062,0.619048,0.181574,0.619048,0.125959,0.619048,0.274634,0.619048,All
0.471755,0.666667,0.381891,0.666667,0.345367,0.666667,0.2978,0.666667,All
0.509356,0.714286,0.595435,0.714286,0.364159,0.714286,0.371746,0.714286,All
0.527894,0.761905,0.76636,0.761905,0.381091,0.761905,0.476393,0.761905,All
0.550519,0.809524,0.786412,0.809524,0.474257,0.809524,0.500519,0.809524,All
0.66144,0.857143,0.876333,0.857143,0.763815,0.857143,0.54242,0.857143,All
0.707499,0.904762,0.900035,0.904762,0.955052,0.904762,0.568984,0.904762,All
0.834974,0.952381,0.905555,0.952381,0.99491,0.952381,0.751229,0.952381,All
1.05114,1,0.99525,1,2.22137,1,1.54577,1,All
4,1,4,1,4,1,4,1,All
