popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.00195852,0.95623,0.00195852,-0.000940856,0.00485789,0.000163832,1.70575,0.000163832,-7.87036e-05,0.000406367,All
0.00241984,0.91389,0.00241984,-0.00116247,0.00600214,0.000221165,1.70574,0.000221165,-0.000106246,0.000548577,All
0.00298982,0.861576,0.00298982,-0.00143629,0.00741592,0.000298563,1.70572,0.000298563,-0.000143427,0.000740552,All
0.00369405,0.806102,0.00369405,-0.0017746,0.00916271,0.000403045,1.7057,0.000403045,-0.00019362,0.00099971,All
0.00456417,0.751581,0.00456417,-0.00219259,0.0113209,0.000544092,1.70567,0.000544092,-0.000261378,0.00134956,All
0.00563924,0.702968,0.00563924,-0.00270905,0.0139875,0.000734498,1.70564,0.000734498,-0.000352847,0.00182184,All
0.00696754,0.670086,0.00696754,-0.00334715,0.0172822,0.000991538,1.70559,0.000991538,-0.000476327,0.0024594,All
0.00860871,0.667949,0.00860871,-0.00413556,0.021353,0.00133853,1.70553,0.00133853,-0.000643019,0.00332008,All
0.0106365,0.714541,0.0106365,-0.00510967,0.0263826,0.00180695,1.70547,0.00180695,-0.000868045,0.00448195,All
0.0131418,0.827021,0.0131418,-0.00631323,0.0325969,0.0024393,1.7054,0.0024393,-0.00117182,0.00605041,All
0.0162373,1.00207,0.0162373,-0.00780029,0.0402749,0.00329293,1.70534,0.00329293,-0.0015819,0.00816777,All
0.020062,1.19698,0.020062,-0.00963761,0.0497615,0.00444531,1.70533,0.00444531,-0.00213549,0.0110261,All
0.0247875,1.3537,0.0247875,-0.0119077,0.0614826,0.00600095,1.70543,0.00600095,-0.00288281,0.0148847,All
0.030626,1.43609,0.030626,-0.0147125,0.0759646,0.008101,1.70578,0.008101,-0.00389166,0.0200937,All
0.0378398,1.45924,0.0378398,-0.018178,0.0938577,0.010936,1.7066,0.010936,-0.00525355,0.0271255,All
0.0467528,1.46121,0.0467528,-0.0224597,0.115965,0.014763,1.70832,0.014763,-0.00709205,0.0366181,All
0.0577653,1.4644,0.0577653,-0.02775,0.143281,0.0199294,1.71155,0.0199294,-0.00957393,0.0494327,All
0.0713716,1.46954,0.0713716,-0.0342864,0.17703,0.0269037,1.71722,0.0269037,-0.0129243,0.0667318,All
0.0881829,1.47753,0.0881829,-0.0423624,0.218728,0.0363188,1.72634,0.0363188,-0.0174473,0.0900848,All
0.108954,1.48986,0.108954,-0.0523406,0.270249,0.0490286,1.73907,0.0490286,-0.023553,0.12161,All
0.134618,1.50552,0.134618,-0.0646693,0.333904,0.0661863,1.75176,0.0661863,-0.0317954,0.164168,All
0.166326,1.52561,0.166326,-0.0799018,0.412554,0.0893483,1.75792,0.0893483,-0.0429222,0.221619,All
