iteration,convergenceIndicator,phase,CL_pop,Q1_pop,Vc_pop,Vp1_pop,b,omega_CL,omega_Q1,omega_Vc,omega_Vp1
1,481.908,1,10,0.5,10,10,0.3,0.5,0.5,0.5,0.5
2,-609.521,1,8.98572,0.311345,10.9048,9.15823,0.698075,0.889665,0.72058,0.562644,0.772673
3,-745.542,1,9.8404,0.273078,11.6236,9.63365,0.800441,0.867139,0.809722,0.548398,0.815978
4,-820.396,1,10.1903,0.244276,11.7052,10.4417,0.889339,0.845182,0.905882,0.556846,0.848321
5,-871.676,1,10.3702,0.225179,11.7638,10.7737,0.907987,0.823782,0.984404,0.542747,0.84222
6,-896.931,1,10.6563,0.214911,12.8195,11.077,0.915869,0.802923,1.01701,0.560486,0.885167
7,-928.659,1,10.8781,0.204759,13.3582,12.4352,0.936393,0.792869,1.0413,0.575426,0.908368
8,-942.065,1,10.9405,0.196996,13.6012,12.4003,0.955247,0.803021,1.11742,0.560856,0.911366
9,-941.596,1,10.8122,0.194362,12.7215,12.3103,0.992181,0.789161,1.14378,0.584618,0.93445
10,-941.017,1,10.9111,0.190069,12.8085,11.411,1.01484,0.804565,1.19686,0.600428,0.967555
11,-959.84,1,11.14,0.194242,13.1454,11.5375,0.994692,0.813189,1.17056,0.596754,0.976583
12,-950.544,1,11.0266,0.193169,13.494,11.6222,0.982796,0.812037,1.19616,0.581644,1.0286
13,-948.663,1,11.0366,0.195695,12.9718,11.0239,0.995764,0.831986,1.16987,0.587336,1.12321
14,-945.299,1,10.7739,0.18722,12.4437,10.7456,0.99273,0.82044,1.19692,0.583221,1.18027
15,-956.092,1,11.0168,0.166928,13.207,10.4776,1.00026,0.833061,1.25608,0.589121,1.20853
16,-954.071,1,10.9355,0.157165,13.3755,9.40224,1.00628,0.841325,1.29818,0.574204,1.17793
17,-956.624,1,10.9761,0.152074,13.0848,9.66387,1.04844,0.849135,1.32596,0.610775,1.15224
18,-955.847,1,11.1432,0.161216,13.2374,10.4541,1.04963,0.854857,1.29239,0.613128,1.12306
19,-972.045,1,11.1348,0.162483,12.9374,9.60341,1.02783,0.853009,1.32246,0.62605,1.09463
20,-978.606,1,11.0607,0.159427,13.126,9.96875,1.01671,0.849202,1.29372,0.610198,1.06691
21,-985.941,1,10.8286,0.160645,12.7951,10.1407,1.00548,0.851946,1.36724,0.599529,1.0399
22,-990.82,1,10.7504,0.16361,12.8465,10.113,0.987639,0.847194,1.36963,0.584349,1.02158
23,-981.308,1,10.8003,0.165302,13.0838,10.6576,0.979612,0.847457,1.33495,0.569553,0.995716
24,-996.347,1,11.0131,0.17033,13.5086,11.2016,0.975598,0.845551,1.3312,0.560558,0.970503
25,-999.494,1,11.1075,0.177375,13.9074,12.2437,0.959174,0.84583,1.29788,0.55192,0.950449
26,-981.291,1,10.9195,0.171993,13.5284,11.6178,0.976719,0.824413,1.33109,0.576513,0.989691
27,-975.143,1,11.0534,0.177322,13.7925,11.6948,0.988317,0.842981,1.35325,0.603792,0.982596
28,-982.708,1,11.0714,0.170966,13.6947,11.101,1.00082,0.832568,1.33,0.610364,0.957716
29,-978.184,1,10.9385,0.164822,13.6343,10.9547,0.970452,0.844852,1.3543,0.64889,0.933466
30,-979.09,1,10.9738,0.168208,14.0806,11.0303,0.971539,0.850998,1.46097,0.632459,0.919016
31,-981.841,1,10.9943,0.170362,13.3817,10.9277,0.960978,0.86339,1.44031,0.647103,0.914786
32,-981.978,1,11.2134,0.174234,13.5829,10.7228,0.963295,0.8724,1.4455,0.675373,0.922044
33,-990.733,1,11.1376,0.1705,13.3706,10.3817,0.951349,0.886532,1.43022,0.670244,0.898697
34,-991.484,1,11.3574,0.177369,13.3025,10.9437,0.947716,0.89293,1.41267,0.694371,0.93521
35,-996.175,1,11.3369,0.178816,13.0063,10.936,0.969261,0.892247,1.38388,0.676828,0.9155
36,-994.306,1,11.3395,0.180333,13.247,11.3031,0.944104,0.897284,1.37081,0.671656,0.955502
37,-992.797,1,11.4838,0.196442,13.433,10.7123,0.92784,0.92538,1.41938,0.710882,0.931309
38,-994.883,1,11.0722,0.183045,13.2097,10.9438,0.917417,0.918184,1.40033,0.692882,0.907727
39,-981.348,1,11.1848,0.191962,13.6761,11.4572,0.943445,0.920209,1.465,0.696108,0.946984
40,-985.056,1,11.3525,0.198462,13.6026,12.0431,0.941807,0.93577,1.46488,0.718816,0.984729
41,-985.102,1,11.2972,0.197095,13.1044,11.7783,0.963269,0.941895,1.45404,0.729727,0.968447
42,-984.872,1,11.1037,0.184288,13.1496,11.8979,0.931908,0.948613,1.45138,0.71125,0.991134
43,-990.378,1,11.0205,0.183667,13.3373,11.8941,0.918112,0.955529,1.46851,0.69324,0.966038
44,-992.213,1,10.9799,0.179506,12.8538,11.844,0.930153,0.962372,1.50993,0.695514,0.961706
45,-996.106,1,10.9149,0.170912,13.3212,12.0386,0.948317,0.96185,1.47745,0.706691,0.963036
46,-990.887,1,10.6006,0.17057,13.0952,11.6191,0.91716,0.964476,1.50301,0.688798,0.970111
47,-979.534,1,10.4046,0.166748,12.8171,10.9645,0.913289,0.956423,1.48342,0.694554,0.946928
48,-984.457,1,10.4877,0.168017,13.5092,12.2028,0.911576,0.950312,1.56516,0.676968,0.956186
49,-985.078,1,10.4648,0.17398,12.8622,12.2712,0.896133,0.960591,1.52663,0.711642,0.931975
50,-982.303,2,10.4806,0.173892,12.6056,12.5014,0.897022,0.960741,1.51739,0.707124,0.917527
51,-983.969,2,10.655,0.176839,12.9964,11.5122,0.893377,0.976257,1.52988,0.68922,0.909076
52,-994.564,2,10.8561,0.183878,13.1639,11.8459,0.882158,0.962049,1.60005,0.679941,0.859007
