time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.001,-0.0048166,0.001,0.0863394,0.001,0.138367,0.00195852,-0.0358076,0.000163832,0.132041,0.00195852,0.309175,All
0.00127152,-0.00472354,0.00127152,0.0863014,0.00127152,0.138445,0.00241984,-0.0460905,0.000221165,0.131561,0.00241984,0.295893,All
0.00161676,-0.00460522,0.00161676,0.0862531,0.00161676,0.138544,0.00298982,-0.0587955,0.000298563,0.130915,0.00298982,0.279483,All
0.00205574,-0.00445477,0.00205574,0.0861917,0.00205574,0.13867,0.00369405,-0.0721648,0.000403045,0.130048,0.00369405,0.261294,All
0.00261392,-0.00426347,0.00261392,0.0861137,0.00261392,0.13883,0.00456417,-0.0851597,0.000544092,0.128889,0.00456417,0.241991,All
0.00332365,-0.00402023,0.00332365,0.0860144,0.00332365,0.139033,0.00563924,-0.0965874,0.000734498,0.127335,0.00563924,0.222326,All
0.00422609,-0.00371095,0.00422609,0.0858882,0.00422609,0.139292,0.00696754,-0.104156,0.000991538,0.125264,0.00696754,0.204002,All
0.00537355,-0.00331768,0.00537355,0.0857277,0.00537355,0.139621,0.00860871,-0.104722,0.00133853,0.122524,0.00860871,0.189518,All
0.00683257,-0.00281764,0.00683257,0.0855237,0.00683257,0.140039,0.0106365,-0.0954439,0.00180695,0.118919,0.0106365,0.181313,All
0.00868775,-0.00218183,0.00868775,0.0852643,0.00868775,0.14057,0.0131418,-0.0759297,0.0024393,0.114222,0.0131418,0.180296,All
0.0110466,-0.00137339,0.0110466,0.0849344,0.0110466,0.141246,0.0162373,-0.05308,0.00329293,0.108192,0.0162373,0.182325,All
0.014046,-0.000345431,0.014046,0.0845149,0.014046,0.142106,0.020062,-0.0382089,0.00444531,0.100613,0.020062,0.18128,All
0.0178598,0.000961634,0.0178598,0.0839815,0.0178598,0.143198,0.0247875,-0.0319356,0.00600095,0.0913903,0.0247875,0.180995,All
0.0227091,0.00262359,0.0227091,0.0833034,0.0227091,0.144588,0.030626,-0.0328264,0.008101,0.0807298,0.030626,0.186296,All
0.028875,0.00473681,0.028875,0.0824411,0.028875,0.146355,0.0378398,-0.039662,0.010936,0.0694741,0.0378398,0.196213,All
0.0367152,0.0074238,0.0367152,0.0813446,0.0367152,0.148601,0.0467528,-0.0491024,0.014763,0.0596227,0.0467528,0.207733,All
0.0466841,0.0108404,0.0466841,0.0799505,0.0466841,0.151457,0.0577653,-0.0590356,0.0199294,0.0545953,0.0577653,0.21863,All
0.0593597,0.0151846,0.0593597,0.0781778,0.0593597,0.155089,0.0713716,-0.0689949,0.0269037,0.0605462,0.0713716,0.227686,All
0.075477,0.0207084,0.075477,0.0759238,0.075477,0.159708,0.0881829,-0.0781029,0.0363188,0.0848336,0.0881829,0.232853,All
0.0959705,0.0277319,0.0959705,0.0730578,0.0959705,0.16558,0.108954,-0.0842878,0.0490286,0.130732,0.108954,0.230092,All
0.122028,0.0366626,0.122028,0.0694137,0.122028,0.173046,0.134618,-0.0910428,0.0661863,0.177796,0.134618,0.225094,All
0.155162,0.048018,0.155162,0.06478,0.155162,0.18254,0.166326,-0.0965403,0.0893483,0.186923,0.166326,0.21571,All
0.197291,0.0624567,0.197291,0.0588883,0.197291,0.194611,0.205503,-0.101864,0.120616,0.143658,0.205503,0.203238,All
0.250859,0.0782943,0.250859,0.0521934,0.250859,0.208032,0.253909,-0.10816,0.162826,0.0723837,0.253909,0.188503,All
0.318972,0.0937785,0.318972,0.045151,0.318972,0.221538,0.313716,-0.114502,0.219807,0.000304844,0.313716,0.17373,All
0.40558,0.113467,0.40558,0.0361965,0.40558,0.238712,0.38761,-0.120891,0.296729,-0.0459515,0.38761,0.158927,All
0.515702,0.138501,0.515702,0.0248107,0.515702,0.260548,0.47891,-0.12662,0.40057,-0.0637692,0.47891,0.145788,All
0.655726,0.161054,0.655726,0.0132769,0.655726,0.281161,0.591715,-0.131089,0.540751,-0.0142906,0.591715,0.135731,All
0.833768,0.165682,0.833768,0.00631038,0.833768,0.288501,0.731091,-0.133573,0.729988,0.062233,0.731091,0.130424,All
1.06015,0.168179,1.06015,-0.00146118,1.06015,0.295167,0.903296,-0.133675,0.985449,0.112142,0.903296,0.130616,All
1.348,0.171353,1.348,-0.0113429,1.348,0.303644,1.11606,-0.132919,1.33031,0.106435,1.11606,0.132463,All
1.71401,0.146516,1.71401,-0.014474,1.71401,0.290866,1.37895,-0.131232,1.79585,0.035177,1.37895,0.135342,All
2.1794,0.0838875,2.1794,-0.0079299,2.1794,0.247481,1.53616,-0.130023,2.42432,-0.0437703,1.53616,0.137118,All
2.77115,0.00128252,2.77115,0.00256306,2.77115,0.184198,1.70375,-0.128735,3.27271,-0.0865389,1.70375,0.139012,All
3.29088,-0.0461629,3.29088,0.00552092,3.29088,0.140825,2.10506,-0.12464,4.41801,-0.0738047,2.10506,0.143819,All
3.52358,-0.0576177,3.52358,0.00461252,3.52358,0.127415,2.6009,-0.118396,5.9641,-0.0318836,2.6009,0.150073,All
4.4803,-0.0676263,4.4803,-0.00100888,4.4803,0.10278,3.07036,-0.111349,8.05125,0.0169971,3.07036,0.156287,All
5.69678,-0.0739011,5.69678,0.0263289,5.69678,0.117233,3.21353,-0.108977,10.7488,0.0645963,3.21353,0.158238,All
6.58076,-0.100162,6.58076,0.0788219,6.58076,0.141228,3.97047,-0.0953495,10.8688,0.0664737,3.97047,0.168808,All
7.24357,-0.10397,7.24357,0.116667,7.24357,0.159924,4.60456,-0.0825898,14.6724,0.109141,4.60456,0.177953,All
9.21034,0.0132133,9.21034,0.147711,9.21034,0.1914,4.90569,-0.0762834,19.807,0.130873,4.90569,0.18234,All
9.87063,0.0394032,9.87063,0.136087,9.87063,0.189334,6.0612,-0.0510229,21.4974,0.130923,6.0612,0.199239,All
11.7111,-0.0748321,11.7111,0.103156,11.7111,0.158218,6.13877,-0.0493086,26.7385,0.115965,6.13877,0.200368,All
13.1605,-0.116768,13.1605,0.102527,13.1605,0.149099,7.48889,-0.0203053,32.246,0.0902623,7.48889,0.219395,All
14.8909,0.0652485,14.8909,0.130683,14.8909,0.180771,7.67297,-0.0164536,36.0957,0.0712183,7.67297,0.221927,All
16.4504,0.201781,16.4504,0.127982,16.4504,0.20156,9.20717,0.013741,42.9946,0.038312,9.20717,0.241907,All
18.9341,0.0595817,18.9341,0.0257177,18.9341,0.164484,9.25287,0.0145796,48.7275,0.0111403,9.25287,0.242466,All
19.7403,-0.00460084,19.7403,-0.00459745,19.7403,0.150677,10.7414,0.041688,53.7432,-0.012128,10.7414,0.260555,All
23.0301,-0.122289,23.0301,-0.0178872,23.0301,0.144815,11.4323,0.0533605,64.4918,-0.0595148,11.4323,0.268409,All
24.0751,-0.104738,24.0751,0.0141217,24.0751,0.161499,12.2756,0.065842,65.7798,-0.0651741,12.2756,0.276926,All
26.32,-0.0608775,26.32,0.0506568,26.32,0.1853,13.8098,0.086556,75.2404,-0.105514,13.8098,0.291211,All
29.6099,-0.0778237,29.6099,-0.0182068,29.6099,0.167445,14.1252,0.0908144,85.989,-0.148993,14.1252,0.294148,All
30.612,-0.0762725,30.612,-0.0171001,30.612,0.172379,15.344,0.10727,88.7997,-0.16007,15.344,0.305496,All
32.8998,-0.0628733,32.8998,0.0266562,32.8998,0.19745,16.8782,0.127984,96.7376,-0.19005,16.8782,0.319782,All
36.1897,-0.0681974,36.1897,0.101634,36.1897,0.216404,17.4523,0.135736,107.486,-0.229545,17.4523,0.325127,All
38.9237,-0.0858656,38.9237,0.11643,38.9237,0.207932,18.4124,0.144903,118.235,-0.267472,18.4124,0.331702,All
39.4795,-0.0889002,39.4795,0.111624,39.4795,0.204213,19.9466,0.158339,119.875,-0.273041,19.9466,0.341453,All
