Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.707463,0.8017,-0.0674371,-2.78109,-3.52542,-2.56913,-2.86883,-2.50723,-0.641441,-4.66807,-0.242959,-0.0168466,-2.78109,-0.296468,-0.104972,-2.86883,-0.400063,-0.222953,-4.66807,-2.73656,-2.66142,-0.707463,0.353956,-0.318271,-2.86883,-1.29627,-0.392783,-4.66807,-1.84377,-0.293871,-0.707463,-0.0309276,-0.294394,-2.78109,-1.84849,-0.139166
-0.693339,0.701013,-0.0649848,-2.72734,-3.38222,-2.51955,-2.82527,-2.37493,-0.631244,-4.58281,-0.241474,-0.01602,-2.72734,-0.283298,-0.102446,-2.82527,-0.389553,-0.219292,-4.58281,-2.68825,-2.61217,-0.693339,0.290976,-0.310828,-2.82527,-1.25689,-0.386062,-4.58281,-1.79225,-0.286238,-0.693339,-0.113021,-0.286264,-2.72734,-1.7226,-0.1341
-0.679215,0.602448,-0.0625325,-2.67359,-3.23901,-2.46997,-2.78171,-2.24264,-0.621048,-4.49756,-0.239989,-0.0151935,-2.67359,-0.270129,-0.0999205,-2.78171,-0.379044,-0.215632,-4.49756,-2.63995,-2.56293,-0.679215,0.229063,-0.303384,-2.78171,-1.21752,-0.379341,-4.49756,-1.74072,-0.278604,-0.679215,-0.192185,-0.278134,-2.67359,-1.59671,-0.129035
-0.665091,0.524245,-0.0600802,-2.61984,-3.0958,-2.42039,-2.73815,-2.11034,-0.610851,-4.41231,-0.238503,-0.0143669,-2.61984,-0.256959,-0.0973946,-2.73815,-0.368534,-0.211972,-4.41231,-2.59165,-2.51369,-0.665091,0.177387,-0.295941,-2.73815,-1.17814,-0.37262,-4.41231,-1.6892,-0.270971,-0.665091,-0.243246,-0.270005,-2.61984,-1.47081,-0.123969
-0.650967,0.446043,-0.0576279,-2.56609,-2.95259,-2.37082,-2.69459,-1.97805,-0.600655,-4.32706,-0.237018,-0.0135404,-2.56609,-0.243789,-0.0948688,-2.69459,-0.358025,-0.208312,-4.32706,-2.54334,-2.46444,-0.650967,0.125711,-0.288497,-2.69459,-1.13876,-0.365899,-4.32706,-1.63768,-0.263338,-0.650967,-0.294306,-0.261875,-2.56609,-1.34492,-0.118904
-0.636843,0.36784,-0.0551756,-2.51234,-2.80939,-2.32124,-2.65103,-1.84575,-0.590458,-4.2418,-0.235532,-0.0127138,-2.51234,-0.230619,-0.092343,-2.65103,-0.347516,-0.204651,-4.2418,-2.49504,-2.4152,-0.636843,0.0740352,-0.281054,-2.65103,-1.09938,-0.359178,-4.2418,-1.58615,-0.255704,-0.636843,-0.345366,-0.253745,-2.51234,-1.21903,-0.113838
-0.622719,0.289638,-0.0527233,-2.45859,-2.66618,-2.27166,-2.60747,-1.71346,-0.580262,-4.15655,-0.234047,-0.0118872,-2.45859,-0.217449,-0.0898171,-2.60747,-0.337006,-0.200991,-4.15655,-2.44674,-2.36595,-0.622719,0.0223594,-0.27361,-2.60747,-1.06,-0.352457,-4.15655,-1.53463,-0.248071,-0.622719,-0.396426,-0.245616,-2.45859,-1.09313,-0.108773
-0.608596,0.211436,-0.050271,-2.40484,-2.52297,-2.22209,-2.56392,-1.58116,-0.570065,-4.0713,-0.232562,-0.0110607,-2.40484,-0.20428,-0.0872913,-2.56392,-0.326497,-0.197331,-4.0713,-2.39843,-2.31671,-0.608596,-0.0293165,-0.266167,-2.56392,-1.02062,-0.345736,-4.0713,-1.48311,-0.240438,-0.608596,-0.447487,-0.237486,-2.40484,-0.967241,-0.103707
-0.594472,0.133233,-0.0478187,-2.35109,-2.37976,-2.17251,-2.52036,-1.44886,-0.559869,-3.98605,-0.231076,-0.0102341,-2.35109,-0.19111,-0.0847654,-2.52036,-0.315987,-0.193671,-3.98605,-2.35013,-2.26747,-0.594472,-0.0809924,-0.258724,-2.52036,-0.981244,-0.339015,-3.98605,-1.43158,-0.232804,-0.594472,-0.498547,-0.229356,-2.35109,-0.841348,-0.0986416
-0.580348,0.0550309,-0.0453664,-2.29733,-2.23655,-2.12293,-2.4768,-1.31657,-0.549672,-3.90079,-0.229591,-0.00940757,-2.29733,-0.17794,-0.0822396,-2.4768,-0.305478,-0.190011,-3.90079,-2.30183,-2.21822,-0.580348,-0.132668,-0.25128,-2.4768,-0.941866,-0.332294,-3.90079,-1.38006,-0.225171,-0.580348,-0.549607,-0.221227,-2.29733,-0.715455,-0.093576
