Vc_abscissa,Vc_cdf,Ke_abscissa,Ke_cdf,Kpc_abscissa,Kpc_cdf,Kcp_abscissa,Kcp_cdf,split
0.780525,0.047619,0.203824,0,0.00159282,0.047619,0.000170983,0.047619,All
1.78586,0.0952381,0.404239,0.047619,0.00263697,0.0952381,0.00449663,0.0952381,All
3.8784,0.142857,0.415267,0.0952381,0.00817533,0.142857,0.00499049,0.142857,All
4.13483,0.190476,0.462848,0.142857,0.00901167,0.190476,0.00576802,0.190476,All
11.2926,0.238095,0.549286,0.190476,0.00955021,0.238095,0.00610288,0.238095,All
13.2986,0.285714,0.551737,0.238095,0.00996874,0.285714,0.00823857,0.285714,All
14.9695,0.333333,0.630127,0.285714,0.0113876,0.333333,0.00975992,0.333333,All
18.2195,0.380952,0.630191,0.333333,0.0114558,0.380952,0.011213,0.380952,All
19.4682,0.428571,0.789072,0.380952,0.0186015,0.428571,0.0125721,0.428571,All
20.7046,0.47619,0.802254,0.428571,0.0299584,0.47619,0.0134405,0.47619,All
21.6351,0.52381,0.822396,0.47619,0.0310249,0.52381,0.0135594,0.52381,All
22.2383,0.571429,0.826798,0.52381,0.0310741,0.571429,0.01739,0.571429,All
23.0627,0.619048,0.990853,0.571429,0.0339928,0.619048,0.0238246,0.619048,All
24.4637,0.666667,1.01729,0.619048,0.0349003,0.666667,0.0255687,0.666667,All
27.2099,0.714286,1.03323,0.666667,0.0504317,0.714286,0.0374692,0.714286,All
28.3223,0.761905,1.11124,0.714286,0.0865322,0.761905,0.0510138,0.761905,All
31.7062,0.809524,1.20288,0.761905,0.12364,0.809524,0.0602509,0.809524,All
40.6508,0.857143,1.2367,0.809524,0.128018,0.857143,0.0758217,0.857143,All
44.9626,0.904762,1.24749,0.857143,0.132417,0.904762,0.0792653,0.904762,All
46.7316,0.952381,1.26585,0.904762,0.241608,0.952381,0.642012,0.952381,All
58.2365,1,1.5961,0.952381,0.32599,1,0.791414,1,All
113.922,1,1.63644,1,0.32599,1,0.791414,1,All
113.922,1,3.30001,1,0.32599,1,0.791414,1,All
