Vc_abscissa,Vc_pdf,Vc_cdf,Ke_abscissa,Ke_pdf,Ke_cdf,Kpc_abscissa,Kpc_pdf,Kpc_cdf,Kcp_abscissa,Kcp_pdf,Kcp_cdf,split
0.780525,0.0210533,0.00685321,0.203824,0.0861981,0.00289671,0.00159282,21.6394,0.0189034,0.000170983,31.653,0.00301897,All
1.92337,0.0427316,0.0455149,0.235099,0.156728,0.00663694,0.00486956,28.2785,0.107047,0.00816333,25.7165,0.318513,All
3.06622,0.0486897,0.0986479,0.266374,0.247633,0.0129134,0.0081463,25.3082,0.195416,0.0161557,14.4887,0.471957,All
4.20906,0.0485483,0.154551,0.297648,0.353226,0.0222797,0.011423,21.7114,0.272378,0.024148,9.58425,0.565946,All
5.35191,0.0461071,0.208764,0.328923,0.466549,0.0350879,0.0146998,18.5779,0.338232,0.0321404,6.9043,0.630898,All
6.49476,0.0428803,0.259649,0.360198,0.580738,0.0514707,0.0179765,15.9931,0.394731,0.0401327,5.24814,0.678983,All
7.63761,0.0395028,0.306722,0.391472,0.689886,0.0713596,0.0212533,13.8777,0.443555,0.0481251,4.14085,0.71623,All
8.78045,0.036244,0.349987,0.422747,0.789452,0.0945221,0.02453,12.1383,0.486088,0.0561174,3.35856,0.74603,All
9.9233,0.0332117,0.389652,0.454021,0.876335,0.120607,0.0278067,10.696,0.523427,0.0641098,2.78276,0.770461,All
11.0661,0.03044,0.425999,0.485296,0.948751,0.149185,0.0310835,9.48886,0.55644,0.0721021,2.34528,0.790878,All
12.209,0.0279289,0.459328,0.516571,1.00602,0.179792,0.0343602,8.46949,0.585817,0.0800945,2.00435,0.808206,All
13.3518,0.0256637,0.489929,0.547845,1.04829,0.211954,0.0376369,7.60132,0.61211,0.0880868,1.73307,0.823102,All
14.4947,0.0236235,0.518073,0.57912,1.07635,0.245213,0.0409137,6.85613,0.635766,0.0960792,1.51342,0.836046,All
15.6375,0.021786,0.544003,0.610394,1.09137,0.279143,0.0441904,6.21192,0.657151,0.104072,1.33293,0.847397,All
16.7804,0.0201298,0.567938,0.641669,1.09476,0.313357,0.0474672,5.65135,0.676567,0.112064,1.18272,0.857433,All
17.9232,0.0186346,0.590075,0.672944,1.08803,0.347514,0.0507439,5.16064,0.694263,0.120056,1.05632,0.866366,All
19.0661,0.0172827,0.610586,0.704218,1.07271,0.381323,0.0540206,4.72873,0.710451,0.128049,0.948922,0.874368,All
20.2089,0.0160578,0.629626,0.735493,1.05026,0.414537,0.0572974,4.34665,0.725307,0.136041,0.856872,0.881575,All
