pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-0.450483,0.00294118,-1.11053,0.00294118,-0.873968,0.00294118,All
-0.441747,0.00588235,-1.11042,0.00588235,-0.757346,0.00588235,All
-0.407792,0.00882353,-1.10891,0.00882353,-0.750704,0.00882353,All
-0.368284,0.0117647,-1.10855,0.0117647,-0.731935,0.0117647,All
-0.367275,0.0147059,-1.10827,0.0147059,-0.716346,0.0147059,All
-0.345024,0.0176471,-1.10817,0.0176471,-0.704182,0.0176471,All
-0.340496,0.0205882,-1.10786,0.0205882,-0.694671,0.0205882,All
-0.336774,0.0235294,-1.10555,0.0235294,-0.687135,0.0235294,All
-0.336141,0.0264706,-1.10478,0.0264706,-0.676945,0.0264706,All
-0.334991,0.0294118,-1.10248,0.0294118,-0.648634,0.0294118,All
-0.331244,0.0323529,-1.1013,0.0323529,-0.647095,0.0323529,All
-0.318042,0.0352941,-1.10028,0.0352941,-0.636751,0.0352941,All
-0.316431,0.0382353,-1.10006,0.0382353,-0.629639,0.0382353,All
-0.311867,0.0411765,-1.09821,0.0411765,-0.619887,0.0411765,All
-0.311475,0.0441176,-1.09769,0.0441176,-0.591615,0.0441176,All
-0.309318,0.0470588,-1.09503,0.0470588,-0.582784,0.0470588,All
-0.305177,0.05,-1.09412,0.05,-0.563465,0.05,All
-0.302192,0.0529412,-1.09265,0.0529412,-0.559058,0.0529412,All
-0.302052,0.0558824,-1.09108,0.0558824,-0.556286,0.0558824,All
-0.301038,0.0588235,-1.09106,0.0588235,-0.54236,0.0588235,All
-0.295431,0.0617647,-1.09,0.0617647,-0.539889,0.0617647,All
-0.29421,0.0647059,-1.0896,0.0647059,-0.537713,0.0647059,All
-0.289422,0.0676471,-1.08836,0.0676471,-0.530199,0.0676471,All
-0.287135,0.0705882,-1.08369,0.0705882,-0.529371,0.0705882,All
-0.285957,0.0735294,-1.07798,0.0735294,-0.526989,0.0735294,All
-0.284479,0.0764706,-1.07411,0.0764706,-0.506326,0.0764706,All
-0.28417,0.0794118,-1.0667,0.0794118,-0.499237,0.0794118,All
-0.284018,0.0823529,-1.06669,0.0823529,-0.487988,0.0823529,All
-0.281684,0.0852941,-1.06413,0.0852941,-0.485989,0.0852941,All
-0.274143,0.0882353,-1.06198,0.0882353,-0.482834,0.0882353,All
-0.27339,0.0911765,-1.0569,0.0911765,-0.480155,0.0911765,All
-0.267237,0.0941176,-1.05546,0.0941176,-0.471777,0.0941176,All
