pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
2.62196,0.16979,-0.966468,0.848864,-0.777253,0.128045,All
8.76686,0.000503829,-0.678339,0.451295,-0.583823,0.320113,All
14.9117,0,-0.39021,0.300863,-0.390394,0.832295,All
21.0566,0,-0.102082,0.44055,-0.196964,0.832295,All
27.2015,0,0.186047,0.333099,-0.00353359,0.928329,All
33.3464,0,0.474175,0.311608,0.189896,0.768272,All
39.4913,0.000503829,0.762304,0.279373,0.383326,0.400142,All
45.6362,0,1.05043,0.247138,0.576756,0.320113,All
51.7811,0,1.33856,0.182667,0.770186,0.224079,All
57.926,0,1.62669,0.0644707,0.963616,0.144051,All
64.0709,0,1.91482,0.0859609,1.15705,0.144051,All
70.2158,0,2.20295,0.0429805,1.35048,0.0640227,All
76.3607,0,2.49108,0.0107451,1.54391,0.11204,All
82.5056,0,2.7792,0.0107451,1.73734,0.048017,All
88.6505,0,3.06733,0.0107451,1.93077,0.0320113,All
94.7953,0,3.35546,0.0107451,2.1242,0.0320113,All
100.94,0,3.64359,0.0107451,2.31763,0.0640227,All
107.085,0,3.93172,0,2.51106,0.0160057,All
113.23,0.000503829,4.21985,0.0107451,2.70449,0.0320113,All
