standEta_Vc_abscissa,standEta_Vc_cdf,standEta_Ke_abscissa,standEta_Ke_cdf,standEta_Kpc_abscissa,standEta_Kpc_cdf,standEta_Kcp_abscissa,standEta_Kcp_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.46487,0.047619,-1.40213,0.047619,-2.07694,0.047619,-2.74571,0.047619,All
-1.75372,0.0952381,-1.34879,0.0952381,-1.70046,0.0952381,-0.822613,0.0952381,All
-1.0874,0.142857,-1.1338,0.142857,-0.855453,0.142857,-0.761321,0.142857,All
-1.0324,0.190476,-0.794453,0.190476,-0.782715,0.190476,-0.676153,0.190476,All
-0.169165,0.238095,-0.785631,0.238095,-0.739368,0.238095,-0.642961,0.238095,All
-0.0286783,0.285714,-0.522331,0.285714,-0.707336,0.285714,-0.466464,0.285714,All
0.0730119,0.333333,-0.52213,0.333333,-0.607957,0.333333,-0.366792,0.333333,All
0.241821,0.380952,-0.0765263,0.380952,-0.6035,0.380952,-0.285157,0.380952,All
0.298778,0.428571,-0.0436904,0.428571,-0.241488,0.428571,-0.217865,0.428571,All
0.351682,0.47619,0.00545377,0.47619,0.114418,0.47619,-0.178579,0.47619,All
0.389454,0.52381,0.0160344,0.52381,0.140541,0.52381,-0.173396,0.52381,All
0.413081,0.571429,0.374774,0.571429,0.141724,0.571429,-0.0270443,0.571429,All
0.444354,0.619048,0.426969,0.619048,0.208769,0.619048,0.15813,0.619048,All
0.495023,0.666667,0.457765,0.666667,0.228444,0.666667,0.199687,0.666667,All
0.586433,0.714286,0.602024,0.714286,0.503364,0.714286,0.424463,0.714286,All
0.620861,0.761905,0.759089,0.761905,0.906562,0.761905,0.605965,0.761905,All
0.717831,0.809524,0.814041,0.809524,1.17307,0.809524,0.703852,0.809524,All
0.931346,0.857143,0.831251,0.857143,1.19905,0.857143,0.839058,0.857143,All
1.01796,0.904762,0.860214,0.904762,1.22428,0.904762,0.865183,0.904762,All
1.05112,0.952381,1.31966,0.952381,1.67338,0.952381,2.09556,0.952381,All
1.24022,1,1.36912,1,1.89709,1,2.21862,1,All
4,1,4,1,4,1,4,1,All
