popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.00082525,0.48763,0.00082525,-0.000394652,0.00204515,0.000172258,0.05762,0.000172258,-8.23775e-05,0.000426894,All
0.00103631,0.515669,0.00103631,-0.000495584,0.0025682,0.000229065,0.0579322,0.000229065,-0.000109544,0.000567674,All
0.00130135,0.55088,0.00130135,-0.000622331,0.00322502,0.000304605,0.0583446,0.000304605,-0.000145669,0.000754879,All
0.00163417,0.595096,0.00163417,-0.000781493,0.00404983,0.000405057,0.0588865,0.000405057,-0.000193707,0.00100382,All
0.00205211,0.643146,0.00205211,-0.00098136,0.00508558,0.000538636,0.0595943,0.000538636,-0.000257587,0.00133486,All
0.00257694,0.68916,0.00257694,-0.00123234,0.00638622,0.000716265,0.0605234,0.000716265,-0.000342533,0.00177506,All
0.00323599,0.732206,0.00323599,-0.00154752,0.0080195,0.000952473,0.0617265,0.000952473,-0.000455492,0.00236044,All
0.0040636,0.765163,0.0040636,-0.0019433,0.0100705,0.00126658,0.0632675,0.00126658,-0.000605703,0.00313885,All
0.00510287,0.776272,0.00510287,-0.0024403,0.012646,0.00168426,0.0652162,0.00168426,-0.000805449,0.00417397,All
0.00640794,0.754237,0.00640794,-0.00306441,0.0158803,0.00223969,0.0676395,0.00223969,-0.00107107,0.00555045,All
0.00804678,0.699723,0.00804678,-0.00384814,0.0199417,0.00297829,0.0705523,0.00297829,-0.00142428,0.00738086,All
0.0101048,0.6424,0.0101048,-0.0048323,0.0250418,0.00396046,0.0738974,0.00396046,-0.00189398,0.0098149,All
0.0126891,0.650265,0.0126891,-0.00606817,0.0314463,0.00526653,0.077438,0.00526653,-0.00251856,0.0130516,All
0.0159343,0.792621,0.0159343,-0.00762011,0.0394887,0.00700331,0.0806392,0.00700331,-0.00334913,0.0173557,All
0.0200095,0.832022,0.0200095,-0.00956897,0.049588,0.00931284,0.0825169,0.00931284,-0.00445359,0.0230793,All
0.025127,0.642908,0.025127,-0.0120162,0.0622702,0.012384,0.0816285,0.012384,-0.00592228,0.0306903,All
0.0315532,1.38382,0.0315532,-0.0150894,0.0781959,0.0164679,0.0765098,0.0164679,-0.00787531,0.0408112,All
0.039623,1.20713,0.039623,-0.0189485,0.0981946,0.0218987,0.067262,0.0218987,-0.0104724,0.0542698,All
0.0497567,0.909757,0.0497567,-0.0237947,0.123308,0.0291204,0.0596634,0.0291204,-0.013926,0.0721667,All
0.062482,1.1562,0.062482,-0.0298802,0.154844,0.0387236,0.067166,0.0387236,-0.0185184,0.0959656,All
0.0784619,1.43473,0.0784619,-0.0375221,0.194446,0.0514937,0.0984573,0.0514937,-0.0246254,0.127613,All
0.0985286,1.64723,0.0985286,-0.0471184,0.244176,0.0684752,0.159562,0.0684752,-0.0327462,0.169697,All
0.123727,1.7494,0.123727,-0.059169,0.306624,0.0910567,0.228203,0.0910567,-0.0435452,0.225658,All
0.155371,1.80039,0.155371,-0.0743015,0.385043,0.121085,0.266268,0.121085,-0.0579054,0.300075,All
0.195107,1.78055,0.195107,-0.0933042,0.483518,0.161016,0.246816,0.161016,-0.0770012,0.399033,All
0.245006,1.75062,0.245006,-0.117167,0.607179,0.214115,0.175205,0.214115,-0.102394,0.530625,All
0.307667,1.72724,0.307667,-0.147133,0.762466,0.284726,0.110162,0.284726,-0.136162,0.705613,All
0.386353,1.71238,0.386353,-0.184762,0.957467,0.378621,0.12511,0.378621,-0.181065,0.938308,All
0.485163,1.7195,0.485163,-0.232015,1.20234,0.503482,0.306835,0.503482,-0.240775,1.24774,All
0.609244,1.7596,0.609244,-0.291353,1.50984,0.669519,0.695438,0.669519,-0.320178,1.65921,All
0.765059,1.85148,0.765059,-0.365867,1.89599,0.89031,1.22966,0.89031,-0.425765,2.20639,All
0.960724,1.99964,0.960724,-0.459438,2.38089,1.18391,1.49156,1.18391,-0.566172,2.934,All
1.20643,2.22111,1.20643,-0.57694,2.9898,1.57434,1.17977,1.57434,-0.752882,3.90156,All
1.45559,2.4917,1.45559,-0.696093,3.60727,2.09352,0.687281,2.09352,-1.00117,5.18821,All
1.51498,2.55701,1.51498,-0.724493,3.75445,2.78392,1.00206,2.78392,-1.33133,6.89916,All
1.90243,3.02438,1.90243,-0.909783,4.71465,3.70199,2.54153,3.70199,-1.77037,9.17434,All
2.38898,3.7187,2.38898,-1.14246,5.92043,4.92282,4.95075,4.92282,-2.35419,12.1998,All
2.91036,4.57194,2.91036,-1.39179,7.2125,5.32303,5.69851,5.32303,-2.54558,13.1917,All
2.99997,4.72807,2.99997,-1.43465,7.43459,6.54625,7.80404,6.54625,-3.13055,16.223,All
3.76722,6.16628,3.76722,-1.80156,9.33599,8.70504,11.1676,8.70504,-4.16293,21.573,All
4.36512,7.39351,4.36512,-2.08749,10.8177,10.6459,13.7117,10.6459,-5.09109,26.3829,All
4.73069,8.17355,4.73069,-2.26231,11.7237,11.5758,14.67,11.5758,-5.53577,28.6873,All
5.81989,10.581,5.81989,-2.78319,14.423,15.3932,18.2892,15.3932,-7.36134,38.1477,All
5.94057,10.8511,5.94057,-2.8409,14.722,15.9688,18.6953,15.9688,-7.63659,39.5741,All
7.27465,13.7981,7.27465,-3.47889,18.0282,20.4695,21.2519,20.4695,-9.78893,50.7279,All
7.45987,14.2011,7.45987,-3.56746,18.4872,21.2916,21.6042,21.2916,-10.1821,52.7653,All
8.72942,16.8928,8.72942,-4.17459,21.6334,26.6145,23.3246,26.6145,-12.7276,65.9566,All
9.36775,18.2081,9.36775,-4.47985,23.2153,27.2199,23.5063,27.2199,-13.0171,67.4568,All
10.1842,19.8819,10.1842,-4.87029,25.2386,31.9373,24.945,31.9373,-15.2731,79.1478,All
