iteration,convergenceIndicator,phase,Kcp_pop,Ke_pop,Kpc_pop,Vc_pop,b,omega_Kcp,omega_Ke,omega_Kpc,omega_Vc
1,1467.05,1,0.05,10,0.05,10,0.3,0.5,0.5,0.5,0.5
2,-364.269,1,0.118083,1.81017,0.0824095,3.04236,0.75884,1.10171,0.591442,0.81824,0.999499
3,-555.116,1,0.103366,1.80982,0.0802549,4.05615,0.889799,1.19408,0.5918,0.841153,1.09665
4,-588.815,1,0.0903406,1.79495,0.0754047,4.20202,0.942804,1.24688,0.602032,0.913263,1.14626
5,-613.024,1,0.0818317,1.77403,0.07521,4.35503,0.977498,1.34745,0.628278,0.89415,1.11723
6,-651.219,1,0.0723407,1.67893,0.0735385,4.82411,1.01285,1.34141,0.615935,0.89299,1.08894
7,-660.826,1,0.066345,1.61858,0.0709994,5.08145,1.01399,1.34872,0.607142,0.907786,1.06137
8,-676.491,1,0.0616348,1.56856,0.0693148,5.23524,1.00661,1.34923,0.610561,0.921308,1.03528
9,-699.321,1,0.0532162,1.50875,0.0662997,5.48432,0.991462,1.39722,0.603661,0.89798,1.03596
10,-740.815,1,0.0412377,1.41887,0.0652787,5.53479,0.982307,1.50231,0.588376,0.896812,1.04507
11,-768.263,1,0.0376525,1.33393,0.0647566,6.16138,0.995431,1.51056,0.573478,0.935681,1.0186
12,-771.654,1,0.035805,1.29767,0.061798,6.57294,1.00848,1.49474,0.558957,0.945937,0.992813
13,-796.625,1,0.0350348,1.26093,0.0643304,6.72817,0.958052,1.45689,0.544804,0.958502,1.01877
14,-804.634,1,0.0325153,1.26058,0.0630993,6.75094,0.964997,1.55465,0.545256,0.951758,1.09865
15,-819.171,1,0.0291219,1.19138,0.05816,7.01167,0.935077,1.53689,0.53145,1.01594,1.12997
16,-846.042,1,0.0250798,1.1255,0.0535715,8.0674,0.927569,1.63435,0.517993,0.990214,1.15818
17,-841.42,1,0.024782,1.11211,0.054151,8.02717,0.914282,1.63492,0.504877,0.965142,1.15987
18,-854.191,1,0.0230925,1.0972,0.0501385,8.28189,0.944223,1.65463,0.511052,0.949761,1.211
19,-869.76,1,0.0224304,1.11549,0.0479668,7.72741,0.922723,1.75854,0.508577,1.0163,1.18034
