time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.001,0.515047,0.001,0.179156,0.001,0.171348,0.00082525,0.00995429,0.000172258,0.218626,0.00082525,0.204566,All
0.00127152,0.515143,0.00127152,0.179108,0.00127152,0.171389,0.00103631,0.0428946,0.000229065,0.216311,0.00103631,0.205489,All
0.00161676,0.515265,0.00161676,0.179047,0.00161676,0.17144,0.00130135,0.0842595,0.000304605,0.21325,0.00130135,0.206649,All
0.00205574,0.515421,0.00205574,0.17897,0.00205574,0.171505,0.00163417,0.136204,0.000405057,0.209219,0.00163417,0.208106,All
0.00261392,0.515618,0.00261392,0.178871,0.00261392,0.171587,0.00205211,0.192388,0.000538636,0.203938,0.00205211,0.209087,All
0.00332365,0.515869,0.00332365,0.178746,0.00332365,0.171692,0.00257694,0.24562,0.000716265,0.196989,0.00257694,0.2087,All
0.00422609,0.516188,0.00422609,0.178586,0.00422609,0.171826,0.00323599,0.294678,0.000952473,0.187948,0.00323599,0.206565,All
0.00537355,0.516593,0.00537355,0.178384,0.00537355,0.171995,0.0040636,0.330865,0.00126658,0.176287,0.0040636,0.201547,All
0.00683257,0.517109,0.00683257,0.178126,0.00683257,0.172211,0.00510287,0.339951,0.00168426,0.161397,0.00510287,0.191951,All
0.00868775,0.517765,0.00868775,0.177798,0.00868775,0.172486,0.00640794,0.308455,0.00223969,0.142632,0.00640794,0.176172,All
0.0110466,0.518598,0.0110466,0.177382,0.0110466,0.172834,0.00804678,0.237832,0.00297829,0.119588,0.00804678,0.154292,All
0.014046,0.519658,0.014046,0.176852,0.014046,0.173278,0.0101048,0.165283,0.00396046,0.0922134,0.0101048,0.130779,All
0.0178598,0.521006,0.0178598,0.176178,0.0178598,0.173842,0.0126891,0.17341,0.00526653,0.0614627,0.0126891,0.117644,All
0.0227091,0.52272,0.0227091,0.175322,0.0227091,0.174559,0.0159343,0.341741,0.00700331,0.0300754,0.0159343,0.133766,All
0.028875,0.524899,0.028875,0.174233,0.028875,0.175472,0.0200095,0.368503,0.00931284,0.00371876,0.0200095,0.16379,All
0.0367152,0.52767,0.0367152,0.172848,0.0367152,0.176631,0.025127,0.120706,0.012384,-0.0082444,0.025127,0.159091,All
0.0466841,0.531194,0.0466841,0.171087,0.0466841,0.178106,0.0315532,1.03153,0.0164679,0.0063624,0.0315532,0.179176,All
0.0593597,0.535674,0.0593597,0.168848,0.0593597,0.179981,0.039623,0.570741,0.0218987,0.056823,0.039623,0.183594,All
0.075477,0.54137,0.075477,0.166001,0.075477,0.182365,0.0497567,-0.0436524,0.0291204,0.13208,0.0497567,0.191314,All
0.0959705,0.548613,0.0959705,0.162382,0.0959705,0.185396,0.062482,0.0950481,0.0387236,0.19301,0.062482,0.225671,All
0.122028,0.557823,0.122028,0.157779,0.122028,0.18925,0.0784619,0.2893,0.0514937,0.220086,0.0784619,0.257693,All
0.155162,0.569533,0.155162,0.151927,0.155162,0.194151,0.0985286,0.432207,0.0684752,0.189646,0.0985286,0.277366,All
0.197291,0.584423,0.197291,0.144486,0.197291,0.200383,0.123727,0.490614,0.0910567,0.127591,0.123727,0.277759,All
0.250859,0.600179,0.250859,0.135959,0.250859,0.207331,0.155371,0.507171,0.121085,0.0665659,0.155371,0.26692,All
