CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
-1.95715,0.0572718,0.00248823,-0.695952,-0.280832,-0.00116252,-1.95279,0.221416,0.012598,-1.12102,-0.465244,-0.196982,-0.695952,-1.05571,-0.769353,-1.95279,0.908134,1.77761,-1.12102,-0.0239164,-0.0285658,-1.95715,-0.0275875,-0.0820049,-1.95279,0.0896933,0.0514813,-1.12102,-0.00679134,0.00533879,-1.95715,1.18653,0.927745,-0.695952,0.63265,0.375477
-1.91399,0.0650042,0.00293994,-0.685425,-0.266729,-0.000805805,-1.91952,0.214297,0.0127524,-1.10016,-0.453485,-0.195474,-0.685425,-1.02967,-0.759166,-1.91952,0.911371,1.74576,-1.10016,-0.0288692,-0.0283936,-1.91399,-0.0368713,-0.0805322,-1.91952,0.0790434,0.0502928,-1.10016,-0.00500793,0.00568154,-1.91399,1.15636,0.906579,-0.685425,0.613289,0.370013
-1.87082,0.0727366,0.00339166,-0.674898,-0.252627,-0.000449091,-1.88625,0.207179,0.0129068,-1.0793,-0.441725,-0.193966,-0.674898,-1.00363,-0.748978,-1.88625,0.914608,1.71392,-1.0793,-0.033822,-0.0282214,-1.87082,-0.046155,-0.0790595,-1.88625,0.0683935,0.0491043,-1.0793,-0.00322452,0.0060243,-1.87082,1.1262,0.885412,-0.674898,0.593928,0.364548
-1.82766,0.080469,0.00384337,-0.664372,-0.238525,-9.23768e-05,-1.85297,0.200061,0.0130612,-1.05843,-0.429965,-0.192457,-0.664372,-0.977591,-0.738791,-1.85297,0.917844,1.68208,-1.05843,-0.0387748,-0.0280492,-1.82766,-0.0554387,-0.0775868,-1.85297,0.0577436,0.0479158,-1.05843,-0.00144112,0.00636705,-1.82766,1.09604,0.864246,-0.664372,0.574566,0.359083
-1.78449,0.0849944,0.00429508,-0.653845,-0.224422,0.000264337,-1.8197,0.192942,0.0132156,-1.03757,-0.418205,-0.190949,-0.653845,-0.951551,-0.728604,-1.8197,0.921081,1.65023,-1.03757,-0.0437276,-0.027877,-1.78449,-0.0631392,-0.0761141,-1.8197,0.0470936,0.0467272,-1.03757,0.000342292,0.0067098,-1.78449,1.06706,0.84308,-0.653845,0.555205,0.353618
-1.74133,0.0856016,0.0047468,-0.643319,-0.21032,0.000621052,-1.78643,0.185824,0.0133701,-1.01671,-0.406445,-0.18944,-0.643319,-0.925511,-0.718416,-1.78643,0.924318,1.61839,-1.01671,-0.0486804,-0.0277048,-1.74133,-0.0685878,-0.0746414,-1.78643,0.0364437,0.0455387,-1.01671,0.0021257,0.00705256,-1.74133,1.03939,0.821913,-0.643319,0.535844,0.348153
-1.69816,0.0842676,0.00519851,-0.632792,-0.196217,0.000977766,-1.75315,0.178706,0.0135245,-0.99585,-0.394685,-0.187932,-0.632792,-0.899471,-0.708229,-1.75315,0.927554,1.58654,-0.99585,-0.0536333,-0.0275326,-1.69816,-0.0728983,-0.0731687,-1.75315,0.0257938,0.0443502,-0.99585,0.00390911,0.00739531,-1.69816,1.01235,0.800747,-0.632792,0.516483,0.342689
-1.655,0.0829336,0.00565023,-0.622265,-0.182115,0.00133448,-1.71988,0.171588,0.0136789,-0.974988,-0.382925,-0.186424,-0.622265,-0.873432,-0.698042,-1.71988,0.930791,1.5547,-0.974988,-0.0585861,-0.0273604,-1.655,-0.0772088,-0.071696,-1.71988,0.0151439,0.0431617,-0.974988,0.00569252,0.00773806,-1.655,0.985324,0.779581,-0.622265,0.497121,0.337224
-1.61183,0.0815996,0.00610194,-0.611739,-0.168013,0.00169119,-1.6866,0.164469,0.0138333,-0.954127,-0.371165,-0.184915,-0.611739,-0.847392,-0.687855,-1.6866,0.934028,1.52286,-0.954127,-0.0635389,-0.0271882,-1.61183,-0.0815193,-0.0702233,-1.6866,0.00449399,0.0419732,-0.954127,0.00747592,0.00808081,-1.61183,0.958292,0.758414,-0.611739,0.47776,0.331759
-1.56867,0.0802656,0.00655365,-0.601212,-0.15391,0.00204791,-1.65333,0.157351,0.0139877,-0.933265,-0.359406,-0.183407,-0.601212,-0.821352,-0.677667,-1.65333,0.937265,1.49101,-0.933265,-0.0684917,-0.0270161,-1.56867,-0.0858298,-0.0687506,-1.65333,-0.00615593,0.0407847,-0.933265,0.00925933,0.00842357,-1.56867,0.931261,0.737248,-0.601212,0.458399,0.326294
