CL_abscissa,CL_cdf,Vc_abscissa,Vc_cdf,Q1_abscissa,Q1_cdf,Vp1_abscissa,Vp1_cdf,split
0.0843718,0,2.14832,0,0.00170178,0,1.43905,0,All
0.0929666,0.0147059,3.03014,0.0147059,0.00184787,0.0147059,1.86057,0.0147059,All
0.156294,0.0294118,4.26694,0.0294118,0.00211538,0.0294118,2.82923,0.0294118,All
0.161704,0.0441176,4.49527,0.0441176,0.00223065,0.0441176,3.19654,0.0441176,All
0.164181,0.0588235,4.59108,0.0588235,0.00305095,0.0588235,3.25731,0.0588235,All
0.17893,0.0735294,4.76663,0.0735294,0.003699,0.0735294,3.34935,0.0735294,All
0.185673,0.0882353,4.80968,0.0882353,0.00386206,0.0882353,4.4222,0.0882353,All
0.186813,0.102941,4.89237,0.102941,0.00400333,0.102941,6.15416,0.102941,All
0.188637,0.117647,4.91673,0.117647,0.0040454,0.117647,6.20859,0.117647,All
0.207735,0.132353,5.00536,0.132353,0.00415678,0.132353,7.45924,0.132353,All
0.21057,0.147059,5.01469,0.147059,0.00438914,0.147059,7.65779,0.147059,All
0.21468,0.161765,5.10988,0.161765,0.00475903,0.161765,8.12366,0.161765,All
0.219656,0.176471,5.18696,0.176471,0.00494487,0.176471,8.20305,0.176471,All
0.219985,0.191176,5.22723,0.191176,0.00511236,0.191176,8.24519,0.191176,All
0.220272,0.205882,5.27435,0.205882,0.00546669,0.205882,8.38801,0.205882,All
0.226204,0.220588,5.30421,0.220588,0.00555663,0.220588,8.96306,0.220588,All
0.229387,0.235294,5.30949,0.235294,0.00611036,0.235294,9.19636,0.235294,All
0.229973,0.25,5.31219,0.25,0.00626331,0.25,9.81294,0.25,All
0.235309,0.264706,5.33934,0.264706,0.00631069,0.264706,9.82693,0.264706,All
0.235685,0.279412,5.39637,0.279412,0.00670029,0.279412,9.95561,0.279412,All
0.236516,0.294118,5.56919,0.294118,0.00687772,0.294118,10.5907,0.294118,All
0.237257,0.308824,5.61776,0.308824,0.00708458,0.308824,10.7859,0.308824,All
0.239807,0.323529,5.65362,0.323529,0.00744569,0.323529,10.9048,0.323529,All
0.239859,0.338235,5.69433,0.338235,0.00777179,0.338235,11.1662,0.338235,All
0.248009,0.352941,5.75172,0.352941,0.00797893,0.352941,11.4367,0.352941,All
0.256406,0.367647,5.77504,0.367647,0.0079891,0.367647,11.5147,0.367647,All
0.257413,0.382353,5.80138,0.382353,0.00840705,0.382353,12.17,0.382353,All
0.26284,0.397059,5.81703,0.397059,0.00850185,0.397059,12.7521,0.397059,All
0.273831,0.411765,5.82064,0.411765,0.008976,0.411765,12.9191,0.411765,All
0.274501,0.426471,5.82469,0.426471,0.00903006,0.426471,13.1516,0.426471,All
0.279209,0.441176,5.82821,0.441176,0.00925413,0.441176,13.182,0.441176,All
0.285967,0.455882,5.83797,0.455882,0.00977574,0.455882,13.9124,0.455882,All
0.286668,0.470588,5.84164,0.470588,0.0100709,0.470588,14.0139,0.470588,All
0.289756,0.485294,5.89076,0.485294,0.0103212,0.485294,14.0213,0.485294,All
0.291524,0.5,5.94134,0.5,0.0103498,0.5,14.0612,0.5,All
0.294276,0.514706,5.94344,0.514706,0.0106575,0.514706,14.2767,0.514706,All
0.294857,0.529412,5.94805,0.529412,0.0109829,0.529412,14.3093,0.529412,All
0.302475,0.544118,5.96991,0.544118,0.011068,0.544118,14.3626,0.544118,All
0.307397,0.558824,6.01137,0.558824,0.0110776,0.558824,14.8196,0.558824,All
0.310143,0.573529,6.02639,0.573529,0.0119686,0.573529,15.1073,0.573529,All
0.310751,0.588235,6.05595,0.588235,0.012065,0.588235,15.2772,0.588235,All
0.315373,0.602941,6.09405,0.602941,0.0124131,0.602941,15.3676,0.602941,All
0.315503,0.617647,6.12584,0.617647,0.013247,0.617647,15.4718,0.617647,All
0.321613,0.632353,6.15025,0.632353,0.0138723,0.632353,15.8271,0.632353,All
0.321646,0.647059,6.19863,0.647059,0.0145683,0.647059,15.8316,0.647059,All
0.331547,0.661765,6.28293,0.661765,0.0147131,0.661765,16.4378,0.661765,All
0.335163,0.676471,6.42922,0.676471,0.0152533,0.676471,16.6004,0.676471,All
0.342361,0.691176,6.43061,0.691176,0.0160687,0.691176,17.0459,0.691176,All
0.342382,0.705882,6.44315,0.705882,0.0161617,0.705882,18.2289,0.705882,All
0.343088,0.720588,6.48163,0.720588,0.0171073,0.720588,18.5936,0.720588,All
0.358277,0.735294,6.48459,0.735294,0.0184606,0.735294,19.0136,0.735294,All
0.359777,0.75,6.56376,0.75,0.0191868,0.75,20.782,0.75,All
0.37335,0.764706,6.71103,0.764706,0.0197676,0.764706,22.3466,0.764706,All
0.379815,0.779412,6.7741,0.779412,0.0203368,0.779412,22.6246,0.779412,All
0.381691,0.794118,6.805,0.794118,0.0228845,0.794118,22.6547,0.794118,All
0.386506,0.808824,6.84171,0.808824,0.0283885,0.808824,23.4227,0.808824,All
0.410964,0.823529,6.93915,0.823529,0.0316298,0.823529,23.8212,0.823529,All
0.414912,0.838235,7.00006,0.838235,0.0332603,0.838235,25.607,0.838235,All
0.417943,0.852941,7.13442,0.852941,0.0336671,0.852941,26.4292,0.852941,All
0.421526,0.867647,7.14048,0.867647,0.0341099,0.867647,27.8231,0.867647,All
0.422024,0.882353,7.21421,0.882353,0.0341255,0.882353,27.8537,0.882353,All
0.423785,0.897059,7.32015,0.897059,0.035811,0.897059,28.1293,0.897059,All
0.450792,0.911765,7.32456,0.911765,0.0381551,0.911765,28.5417,0.911765,All
0.47289,0.926471,7.62028,0.926471,0.0394195,0.926471,28.8245,0.926471,All
0.498896,0.941176,7.65169,0.941176,0.0395227,0.941176,30.956,0.941176,All
0.515265,0.955882,7.98341,0.955882,0.04153,0.955882,36.1538,0.955882,All
0.537361,0.970588,8.32306,0.970588,0.131581,0.970588,44.3564,0.970588,All
0.583678,0.985294,8.39614,0.985294,0.132098,0.985294,45.9212,0.985294,All
0.733289,1,8.59127,1,0.132606,1,50.1463,1,All
0.964188,1,17.1919,1,0.132606,1,119.506,1,All
