CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
0.0843718,0.0847223,0.000805692,2.14832,0.000717781,0.000110312,0.00170178,36.7358,0.029815,1.43905,0.0481279,0.041065,All
0.0932589,0.16791,0.00189863,2.30027,0.00159597,0.000278881,0.00302405,48.8097,0.0880965,2.63164,0.0536812,0.103194,All
0.102146,0.294957,0.00392045,2.45223,0.00319637,0.000631817,0.00434632,50.5107,0.154439,3.82423,0.0512967,0.166144,All
0.111033,0.470792,0.00728623,2.60418,0.00585738,0.00130396,0.00566859,48.2356,0.219973,5.01682,0.0470131,0.224836,All
0.11992,0.695459,0.0124335,2.75614,0.00994648,0.0024843,0.00699085,44.5772,0.28141,6.20942,0.0425178,0.278208,All
0.128807,0.964141,0.0197782,2.90809,0.0158146,0.00441702,0.00831312,40.6,0.337727,7.40201,0.0383204,0.326372,All
0.137694,1.26799,0.0296747,3.06005,0.0237457,0.00739519,0.00963539,36.7428,0.388835,8.5946,0.0345557,0.369783,All
0.146581,1.59543,0.0423855,3.212,0.0339121,0.0117471,0.0109577,33.176,0.435024,9.7872,0.0312304,0.408969,All
0.155468,1.93357,0.0580636,3.36396,0.046342,0.0178164,0.0122799,29.9515,0.476722,10.9798,0.028308,0.444433,All
0.164355,2.26955,0.0767464,3.51591,0.0609055,0.0259392,0.0136022,27.0684,0.514383,12.1724,0.0257407,0.47663,All
0.173242,2.59151,0.098361,3.66787,0.0773191,0.0364201,0.0149245,24.504,0.548446,13.365,0.0234815,0.505952,All
0.182129,2.88939,0.122737,3.81982,0.0951671,0.0495101,0.0162467,22.2275,0.579312,14.5576,0.0214876,0.532743,All
0.191016,3.15525,0.149622,3.97178,0.113935,0.0653891,0.017569,20.2067,0.60734,15.7502,0.0197219,0.557295,All
0.199903,3.38343,0.178706,4.12373,0.133051,0.0841538,0.0188913,18.411,0.632848,16.9428,0.0181526,0.579861,All
0.20879,3.57048,0.209637,4.27569,0.151924,0.105812,0.0202135,16.8128,0.656115,18.1353,0.0167529,0.600659,All
0.217677,3.71496,0.242042,4.42764,0.169988,0.130284,0.0215358,15.3874,0.677386,19.3279,0.0155001,0.619878,All
0.226564,3.81708,0.275542,4.5796,0.18673,0.157406,0.0228581,14.1132,0.696875,20.5205,0.014375,0.637681,All
