pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.56618,0.00229885,-1.97741,0.00229885,-1.81645,0.00229885,All
-1.55135,0.0045977,-1.96243,0.0045977,-1.80733,0.0045977,All
-1.52973,0.00689655,-1.936,0.00689655,-1.80315,0.00689655,All
-1.33962,0.0091954,-1.92232,0.0091954,-1.79353,0.0091954,All
-1.2895,0.0114943,-1.92132,0.0114943,-1.79012,0.0114943,All
-1.2872,0.0137931,-1.84171,0.0137931,-1.77663,0.0137931,All
-1.25061,0.016092,-1.79467,0.016092,-1.74721,0.016092,All
-1.24623,0.0183908,-1.7793,0.0183908,-1.6993,0.0183908,All
-1.24374,0.0206897,-1.76659,0.0206897,-1.6922,0.0206897,All
-1.2371,0.0229885,-1.76507,0.0229885,-1.68075,0.0229885,All
-1.20175,0.0252874,-1.7344,0.0252874,-1.67508,0.0252874,All
-1.19567,0.0275862,-1.68586,0.0275862,-1.67437,0.0275862,All
-1.18855,0.0298851,-1.6717,0.0298851,-1.63368,0.0298851,All
-1.17083,0.0321839,-1.63819,0.0321839,-1.62845,0.0321839,All
-1.15546,0.0344828,-1.62837,0.0344828,-1.6266,0.0344828,All
-1.14969,0.0367816,-1.58162,0.0367816,-1.58054,0.0367816,All
-1.12332,0.0390805,-1.55669,0.0390805,-1.56427,0.0390805,All
-1.11249,0.0413793,-1.51453,0.0413793,-1.55453,0.0413793,All
-1.06259,0.0436782,-1.50749,0.0436782,-1.54775,0.0436782,All
-0.990424,0.045977,-1.50513,0.045977,-1.52863,0.045977,All
-0.968212,0.0482759,-1.50063,0.0482759,-1.52393,0.0482759,All
-0.949897,0.0505747,-1.497,0.0505747,-1.51927,0.0505747,All
-0.938399,0.0528736,-1.40338,0.0528736,-1.48716,0.0528736,All
-0.924247,0.0551724,-1.4032,0.0551724,-1.44647,0.0551724,All
-0.907944,0.0574713,-1.40122,0.0574713,-1.42086,0.0574713,All
-0.880777,0.0597701,-1.33091,0.0597701,-1.41728,0.0597701,All
-0.87998,0.062069,-1.27465,0.062069,-1.41348,0.062069,All
-0.858983,0.0643678,-1.26132,0.0643678,-1.39115,0.0643678,All
-0.835931,0.0666667,-1.25424,0.0666667,-1.38218,0.0666667,All
-0.829346,0.0689655,-1.25125,0.0689655,-1.37709,0.0689655,All
-0.823089,0.0712644,-1.23925,0.0712644,-1.35361,0.0712644,All
-0.807723,0.0735632,-1.23464,0.0735632,-1.34025,0.0735632,All
-0.802313,0.0758621,-1.22946,0.0758621,-1.33908,0.0758621,All
-0.791849,0.0781609,-1.18431,0.0781609,-1.33131,0.0781609,All
-0.784113,0.0804598,-1.17423,0.0804598,-1.30486,0.0804598,All
-0.776071,0.0827586,-1.13119,0.0827586,-1.30224,0.0827586,All
-0.773546,0.0850575,-1.12571,0.0850575,-1.30072,0.0850575,All
-0.771551,0.0873563,-1.11908,0.0873563,-1.28912,0.0873563,All
-0.766377,0.0896552,-1.09955,0.0896552,-1.28605,0.0896552,All
-0.757928,0.091954,-1.09714,0.091954,-1.27204,0.091954,All
-0.722108,0.0942529,-1.08809,0.0942529,-1.2701,0.0942529,All
-0.700325,0.0965517,-1.07683,0.0965517,-1.26727,0.0965517,All
-0.69518,0.0988506,-1.07588,0.0988506,-1.25664,0.0988506,All
-0.689304,0.101149,-1.05822,0.101149,-1.25323,0.101149,All
