pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.37087,0.0801526,-1.85964,0.10224,-1.70491,0.161929,All
-0.980268,0.129477,-1.62408,0.092016,-1.48182,0.161929,All
-0.589661,0.918673,-1.38853,0.081792,-1.25873,0.237496,All
-0.199054,0.641221,-1.15297,0.194256,-1.03564,0.237496,All
0.191552,0.357604,-0.917415,0.224928,-0.812546,0.323858,All
0.582159,0.147974,-0.68186,0.224928,-0.589456,0.345448,All
0.972766,0.135643,-0.446304,0.296496,-0.366365,0.377834,All
1.36337,0.0863182,-0.210749,0.30672,-0.143275,0.528968,All
1.75398,0.0863182,0.0248064,0.531648,0.0798154,0.367039,All
2.14459,0.0246623,0.260362,0.572544,0.302906,0.313063,All
2.53519,0.0246623,0.495917,0.5112,0.525996,0.38863,All
2.9258,0.0123312,0.731473,0.480528,0.749087,0.334653,All
3.31641,0,0.967028,0.35784,0.972177,0.248291,All
3.70701,0,1.20258,0.194256,1.19527,0.194315,All
4.09762,0.0123312,1.43814,0.081792,1.41836,0.151134,All
4.48823,0,1.67369,0.081792,1.64145,0.151134,All
4.87883,0.00616559,1.90925,0.081792,1.86454,0.0863621,All
5.26944,0,2.14481,0.020448,2.08763,0.0215905,All
5.66005,0,2.38036,0,2.31072,0.0107953,All
6.05065,0.00616559,2.61592,0,2.53381,0.0107953,All
6.44126,0.0123312,2.85147,0.010224,2.7569,0.0431811,All
