standEta_CL_abscissa,standEta_CL_cdf,standEta_Vc_abscissa,standEta_Vc_cdf,standEta_Q1_abscissa,standEta_Q1_cdf,standEta_Vp1_abscissa,standEta_Vp1_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.90266,0.0147059,-2.47236,0.0147059,-1.80746,0.0147059,-1.53634,0.0147059,All
-1.55752,0.0294118,-1.25639,0.0294118,-1.6826,0.0294118,-1.2066,0.0294118,All
-1.46942,0.0441176,-1.0712,0.0441176,-1.6336,0.0441176,-1.11057,0.0441176,All
-1.43005,0.0588235,-0.996281,0.0588235,-1.34439,0.0588235,-1.09575,0.0588235,All
-1.2073,0.0735294,-0.862971,0.0735294,-1.16651,0.0735294,-1.07383,0.0735294,All
-1.11152,0.0882353,-0.831037,0.0882353,-1.12668,0.0882353,-0.855218,0.0882353,All
-1.09567,0.102941,-0.770474,0.102941,-1.0935,0.102941,-0.595205,0.102941,All
-1.0705,0.117647,-0.752833,0.117647,-1.08384,0.117647,-0.588277,0.117647,All
-0.8208,0.132353,-0.689363,0.132353,-1.05876,0.132353,-0.443895,0.132353,All
-0.7857,0.147059,-0.682752,0.147059,-1.00853,0.147059,-0.423228,0.147059,All
-0.735646,0.161765,-0.615947,0.161765,-0.933805,0.161765,-0.376764,0.161765,All
-0.676318,0.176471,-0.562759,0.176471,-0.898427,0.176471,-0.369113,0.176471,All
-0.672447,0.191176,-0.535288,0.191176,-0.867664,0.191176,-0.365082,0.191176,All
-0.669071,0.205882,-0.503407,0.205882,-0.805777,0.205882,-0.351571,0.205882,All
-0.600262,0.220588,-0.483353,0.220588,-0.790708,0.220588,-0.299403,0.220588,All
-0.564084,0.235294,-0.479815,0.235294,-0.702979,0.235294,-0.279187,0.235294,All
-0.557476,0.25,-0.478011,0.25,-0.680146,0.25,-0.228132,0.25,All
-0.498077,0.264706,-0.459902,0.264706,-0.673188,0.264706,-0.227011,0.264706,All
-0.493941,0.279412,-0.422156,0.279412,-0.617863,0.279412,-0.216776,0.279412,All
-0.484828,0.294118,-0.310172,0.294118,-0.593726,0.294118,-0.168127,0.294118,All
-0.476737,0.308824,-0.279325,0.308824,-0.566359,0.308824,-0.153754,0.308824,All
-0.449055,0.323529,-0.256719,0.323529,-0.520447,0.323529,-0.145132,0.323529,All
-0.448489,0.338235,-0.231231,0.338235,-0.48086,0.338235,-0.126495,0.338235,All
