popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.107595,2.65391,0.107595,0.0218645,0.193326,0.00084446,0.535622,0.00084446,0.000171604,0.00151732,All
0.124592,2.75305,0.124592,0.0253185,0.223866,0.00109251,0.53588,0.00109251,0.00022201,0.00196301,All
0.144275,2.80155,0.144275,0.0293182,0.259231,0.00141343,0.536213,0.00141343,0.000287224,0.00253963,All
0.167066,2.82917,0.167066,0.0339496,0.300182,0.00182861,0.536644,0.00182861,0.000371594,0.00328563,All
0.193458,2.85641,0.193458,0.0393127,0.347603,0.00236575,0.537201,0.00236575,0.000480746,0.00425075,All
0.224019,2.88796,0.224019,0.0455231,0.402514,0.00306066,0.537921,0.00306066,0.00062196,0.00549937,All
0.259407,2.91912,0.259407,0.0527144,0.4661,0.00395971,0.538852,0.00395971,0.000804656,0.00711476,All
0.300387,2.95424,0.300387,0.0610419,0.539731,0.00512283,0.540039,0.00512283,0.00104102,0.00920465,All
0.347839,2.9949,0.347839,0.0706848,0.624994,0.00662762,0.541564,0.00662762,0.00134681,0.0119084,All
0.402788,3.04199,0.402788,0.081851,0.723726,0.00857442,0.543513,0.00857442,0.00174242,0.0154064,All
0.466418,3.09651,0.466418,0.0947812,0.838054,0.0110931,0.545998,0.0110931,0.00225424,0.0199319,All
0.540099,3.15965,0.540099,0.109754,0.970444,0.0143516,0.549174,0.0143516,0.0029164,0.0257868,All
0.625419,3.23277,0.625419,0.127092,1.12375,0.0185672,0.553205,0.0185672,0.00377306,0.0333614,All
0.724218,3.31743,0.724218,0.147169,1.30127,0.0240212,0.558358,0.0240212,0.00488137,0.043161,All
0.838625,3.41547,0.838625,0.170418,1.50683,0.0310772,0.564971,0.0310772,0.00631522,0.0558391,All
0.971104,3.529,0.971104,0.197339,1.74487,0.0402058,0.573596,0.0402058,0.00817026,0.0722414,All
1.12451,3.66046,1.12451,0.228513,2.02051,0.0520159,0.585215,0.0520159,0.0105702,0.0934616,All
1.30215,3.81269,1.30215,0.264612,2.3397,0.0672951,0.601126,0.0672951,0.0136751,0.120915,All
1.50786,3.98897,1.50786,0.306413,2.7093,0.0870624,0.621778,0.0870624,0.017692,0.156433,All
1.74606,4.19309,1.74606,0.354818,3.1373,0.112636,0.646607,0.112636,0.0228889,0.202384,All
2.02189,4.67547,2.02189,0.41087,3.6329,0.145722,0.67653,0.145722,0.0296123,0.261832,All
2.34129,5.01716,2.34129,0.475776,4.2068,0.188527,0.714773,0.188527,0.0383107,0.338743,All
2.71115,5.84252,2.71115,0.550935,4.87136,0.243905,0.766938,0.243905,0.0495641,0.438245,All
3.13943,6.79826,3.13943,0.637967,5.6409,0.315549,0.840801,0.315549,0.0641231,0.566976,All
3.39951,7.37863,3.39951,0.690817,6.1082,0.408239,0.937974,0.408239,0.0829587,0.73352,All
3.63538,7.90498,3.63538,0.738749,6.53201,0.528156,1.04421,0.528156,0.107327,0.948985,All
4.20967,9.18654,4.20967,0.85545,7.56388,0.683297,1.17035,0.683297,0.138853,1.22774,All
4.87468,10.6705,4.87468,0.990588,8.75877,0.884009,1.36982,0.884009,0.17964,1.58838,All
5.64474,12.389,5.64474,1.14707,10.1424,1.14368,1.64031,1.14368,0.232408,2.05495,All
6.53645,14.3789,6.53645,1.32828,11.7446,1.47962,1.95639,1.47962,0.300676,2.65857,All
6.69142,14.7247,6.69142,1.35977,12.0231,1.91425,2.36287,1.91425,0.388997,3.4395,All
7.56903,16.6831,7.56903,1.53811,13.6,2.47654,2.94219,2.47654,0.503261,4.44983,All
8.76473,10.3242,8.76473,1.78109,15.7484,3.20401,3.68228,3.20401,0.651089,5.75692,All
9.98333,13.6386,9.98333,2.02872,17.9379,4.14515,4.49665,4.14515,0.842341,7.44797,All
10.1493,13.8005,10.1493,2.06245,18.2362,5.36276,5.51952,5.36276,1.08977,9.63574,All
11.7526,15.3638,11.7526,2.38826,21.117,6.60739,6.71385,6.60739,1.34269,11.8721,All
13.2752,16.8484,13.2752,2.69768,23.8528,6.93802,7.05464,6.93802,1.40988,12.4662,All
13.6092,17.174,13.6092,2.76554,24.4529,8.976,9.27744,8.976,1.82402,16.128,All
15.7591,19.2702,15.7591,3.20242,28.3158,11.6126,12.1993,11.6126,2.35981,20.8654,All
16.5672,20.0581,16.5672,3.36663,29.7677,13.2139,13.8314,13.2139,2.68521,23.7426,All
18.2486,21.6976,18.2486,3.70832,32.7889,15.0237,15.5441,15.0237,3.05298,26.9944,All
19.8591,23.2679,19.8591,4.03558,35.6826,19.4368,20.0376,19.4368,3.94977,34.9238,All
21.1314,24.5084,21.1314,4.29413,37.9686,19.8205,20.4886,19.8205,4.02774,35.6132,All
23.151,26.4776,23.151,4.70453,41.5974,25.1462,27.0531,25.1462,5.10998,45.1824,All
24.4695,27.7633,24.4695,4.97248,43.9666,26.427,28.4896,26.427,5.37026,47.4838,All
26.4429,29.6874,26.4429,5.37349,47.5123,32.5326,33.7814,32.5326,6.61099,58.4543,All
28.335,31.5323,28.335,5.75799,50.9121,33.0335,34.1112,33.0335,6.71278,59.3543,All
29.7348,32.8971,29.7348,6.04244,53.4272,39.6401,38.4282,39.6401,8.0553,71.2249,All
32.8112,35.8967,32.8112,6.6676,58.9548,42.0888,40.4847,42.0888,8.55291,75.6247,All
33.0267,36.1069,33.0267,6.71139,59.342,46.2466,44.9145,46.2466,9.39782,83.0954,All
36.3186,38.6386,36.3186,7.38034,65.2569,52.8532,53.1514,52.8532,10.7403,94.966,All
37.9945,39.6035,37.9945,7.72089,68.268,54.452,55.1884,54.452,11.0652,97.8388,All
39.6105,40.2854,39.6105,8.0493,71.1718,59.4597,61.4601,59.4597,12.0829,106.837,All
42.9025,41.778,42.9025,8.71825,77.0867,66.0663,69.459,66.0663,13.4254,118.707,All
43.9965,42.4742,43.9965,8.94058,79.0525,70.4468,74.5391,70.4468,14.3156,126.578,All
46.1944,44.8114,46.1944,9.3872,83.0015,72.6728,77.0945,72.6728,14.7679,130.578,All
49.4863,48.3122,49.4863,10.0562,88.9164,79.2793,83.6884,79.2793,16.1104,142.448,All
50.9468,49.8653,50.9468,10.3529,91.5406,85.8859,90.102,85.8859,17.453,154.319,All
52.7782,51.8129,52.7782,10.7251,94.8313,91.1399,95.2027,91.1399,18.5206,163.759,All
56.0701,55.3137,56.0701,11.3941,100.746,92.4924,96.5157,92.4924,18.7955,166.189,All
58.995,58.4241,58.995,11.9884,106.001,99.099,102.929,99.099,20.138,178.06,All
59.362,58.8144,59.362,12.063,106.661,105.705,108.597,105.705,21.4805,189.93,All
62.6539,62.3152,62.6539,12.732,112.576,112.312,113.36,112.312,22.823,201.801,All
65.9458,65.8159,65.9458,13.4009,118.491,117.911,117.243,117.911,23.9609,211.862,All
68.3145,68.3349,68.3145,13.8823,122.747,118.919,117.858,118.919,24.1656,213.672,All
69.2378,69.3167,69.2378,14.0699,124.406,125.525,121.48,125.525,25.5081,225.542,All
72.5297,72.8174,72.5297,14.7388,130.321,132.132,124.434,132.132,26.8506,237.413,All
75.8216,76.3182,75.8216,15.4078,136.235,138.738,126.76,138.738,28.1931,249.283,All
79.1063,79.8113,79.1063,16.0753,142.137,145.345,128.708,145.345,29.5356,261.154,All
79.1135,79.8189,79.1135,16.0767,142.15,151.951,131.301,151.951,30.8782,273.024,All
82.4054,83.3197,82.4054,16.7457,148.065,152.547,131.576,152.547,30.9992,274.095,All
85.6973,86.8204,85.6973,17.4146,153.98,158.558,135.572,158.558,32.2207,284.895,All
88.9892,90.3212,88.9892,18.0836,159.895,165.164,142.606,165.164,33.5632,296.766,All
91.6029,93.1007,91.6029,18.6147,164.591,171.771,152.881,171.771,34.9057,308.636,All
92.2811,93.8219,92.2811,18.7525,165.81,178.377,164.233,178.377,36.2483,320.507,All
95.5731,97.3226,95.5731,19.4215,171.725,184.984,174.049,184.984,37.5908,332.377,All
98.865,100.823,98.865,20.0904,177.639,191.591,181.918,191.591,38.9333,344.248,All
102.157,104.324,102.157,20.7594,183.554,197.356,187.233,197.356,40.1049,354.607,All
105.449,107.825,105.449,21.4284,189.469,198.197,187.919,198.197,40.2758,356.118,All
106.074,108.489,106.074,21.5553,190.592,204.804,192.54,204.804,41.6183,367.989,All
108.741,111.326,108.741,22.0973,195.384,211.41,196.014,211.41,42.9609,379.859,All
112.033,114.826,112.033,22.7663,201.299,218.017,198.792,218.017,44.3034,391.73,All
115.325,118.327,115.325,23.4352,207.214,224.623,201.009,224.623,45.6459,403.601,All
118.616,121.828,118.616,24.1042,213.129,231.23,203.105,231.23,46.9884,415.471,All
121.908,125.329,121.908,24.7731,219.044,237.836,211.92,237.836,48.3309,427.342,All
122.83,126.309,122.83,24.9605,220.7,244.443,227.62,244.443,49.6735,439.212,All
125.2,128.829,125.2,25.4421,224.958,251.049,243.319,251.049,51.016,451.083,All
128.492,132.33,128.492,26.111,230.873,255.328,253.486,255.328,51.8854,458.77,All
131.784,135.831,131.784,26.78,236.788,257.656,259.019,257.656,52.3585,462.953,All
135.076,139.332,135.076,27.4489,242.703,264.262,274.718,264.262,53.701,474.824,All
138.368,142.832,138.368,28.1179,248.618,270.869,290.418,270.869,55.0436,486.694,All
141.66,146.333,141.66,28.7868,254.533,277.476,306.117,277.476,56.3861,498.565,All
142.234,146.944,142.234,28.9035,255.565,284.082,321.817,284.082,57.7286,510.436,All
144.952,148.558,144.952,29.4558,260.448,290.689,337.516,290.689,59.0711,522.306,All
148.244,148.769,148.244,30.1247,266.363,297.295,353.215,297.295,60.4136,534.177,All
151.536,148.98,151.536,30.7937,272.277,303.902,368.915,303.902,61.7562,546.047,All
154.827,149.191,154.827,31.4626,278.192,310.508,384.614,310.508,63.0987,557.918,All
158.119,149.402,158.119,32.1316,284.107,317.115,400.314,317.115,64.4412,569.788,All
161.411,149.613,161.411,32.8006,290.022,323.721,416.013,323.721,65.7837,581.659,All
164.703,148.678,164.703,33.4695,295.937,330.328,431.713,330.328,67.1263,593.529,All
