iteration,convergenceIndicator,phase,CL_pop,Q1_pop,Vc_pop,Vp1_pop,b,omega_CL,omega_Q1,omega_Vc,omega_Vp1
1,2586.62,1,0.5,0.05,10,10,0.3,0.5,0.5,0.5,0.5
2,1989.61,1,0.343927,0.0258374,8.20421,13.6536,0.492235,0.512696,0.859239,0.48734,0.652243
3,1936.15,1,0.342218,0.022282,7.73016,15.208,0.495774,0.529301,0.915851,0.475,0.738347
4,1944.96,1,0.340853,0.0195255,7.72079,16.6628,0.521316,0.543276,0.976078,0.462973,0.824925
5,1922.6,1,0.330765,0.019422,7.40269,18.0447,0.49525,0.549414,1.03243,0.45125,0.868664
6,1939.18,1,0.329817,0.017006,7.81039,19.1584,0.496165,0.546873,1.01521,0.439824,0.90974
7,1901.01,1,0.321983,0.0171588,7.34599,18.6986,0.474433,0.533026,0.989503,0.439312,0.914709
8,1885.23,1,0.323514,0.0166467,7.28694,17.857,0.46965,0.519529,1.00199,0.442758,0.893982
9,1900.55,1,0.320421,0.0168803,7.13476,17.0058,0.488308,0.51742,0.976622,0.431547,0.950633
10,1938.6,1,0.317261,0.0177117,7.45723,20.5971,0.491941,0.504318,0.964962,0.42062,1.00323
11,1916.88,1,0.315883,0.0171262,7.14539,20.266,0.503675,0.498661,0.9769,0.40997,1.00819
12,1916.32,1,0.31399,0.0165845,7.14744,21.5286,0.495175,0.50175,0.953754,0.41118,1.10149
13,1938.66,1,0.31874,0.0170853,7.35413,21.8414,0.501577,0.489045,0.989648,0.405668,1.08843
14,1925.98,1,0.317041,0.0165456,7.37694,22.3694,0.506626,0.476662,0.983096,0.395397,1.08819
15,1901.62,1,0.312649,0.0164365,7.17232,20.4623,0.485461,0.464593,1.06028,0.385385,1.14089
16,1935.24,1,0.310227,0.0153605,7.22584,17.1365,0.482025,0.455045,1.08348,0.380878,1.25229
17,1884.11,1,0.3133,0.0150262,7.0596,18.8301,0.476378,0.443523,1.15403,0.371234,1.22722
18,1919.2,1,0.307343,0.0146988,7.04781,18.1756,0.490579,0.444889,1.18114,0.361834,1.19777
19,1888.99,1,0.306491,0.0143645,6.94008,16.8313,0.466195,0.441323,1.24141,0.352672,1.17672
20,1873.54,1,0.30793,0.0153073,6.96701,19.2347,0.462295,0.430149,1.20997,0.346172,1.21583
21,1894.38,1,0.304319,0.015476,6.77818,19.1621,0.475379,0.420261,1.17934,0.337407,1.18505
22,1935.62,1,0.297632,0.0150032,6.68494,19.577,0.491228,0.409619,1.27854,0.328864,1.15854
23,1913.56,1,0.296224,0.0147119,6.58271,17.7568,0.473424,0.399248,1.32154,0.353755,1.19986
24,1900.71,1,0.294051,0.014039,6.36108,16.8244,0.474831,0.389139,1.28807,0.350766,1.16948
25,1882.09,1,0.293439,0.0137457,6.531,16.5509,0.470906,0.402875,1.25546,0.342185,1.13987
26,1875.7,1,0.283729,0.0132453,6.35353,17.0934,0.466583,0.398392,1.22367,0.349124,1.11101
27,1880.57,1,0.288289,0.0138209,6.31742,14.8774,0.456477,0.400385,1.24833,0.34602,1.08288
28,1869.62,1,0.284314,0.0137861,6.14896,15.6471,0.469036,0.397791,1.21672,0.337258,1.05546
29,1846.49,1,0.284012,0.0132498,6.25083,16.2807,0.455844,0.390337,1.18592,0.346985,1.02873
30,1852.08,1,0.280806,0.0145098,6.09333,16.7313,0.456622,0.392175,1.15589,0.3382,1.00968
31,1885.81,1,0.276826,0.0152316,5.93349,18.8073,0.475753,0.382245,1.12662,0.329636,1.03213
32,1875.72,1,0.281967,0.0153138,5.94455,20.3908,0.48491,0.372566,1.1236,0.329449,1.13442
33,1843.36,1,0.283679,0.0159486,6.16073,21.7406,0.465141,0.364314,1.09515,0.321107,1.1057
34,1863.86,1,0.281055,0.0150549,6.22308,23.2445,0.477416,0.363473,1.06742,0.312976,1.08296
35,1867.88,1,0.277316,0.0135944,6.06564,20.1512,0.487778,0.35971,1.06194,0.305052,1.20475
36,1810.63,1,0.28163,0.0130844,6.13039,18.7333,0.476501,0.37344,1.03505,0.297327,1.17425
37,1846.6,1,0.275586,0.0125791,5.9388,18.1636,0.471805,0.377386,1.0225,0.295571,1.31421
38,1866.78,1,0.274852,0.0133586,6.08346,17.7775,0.462722,0.378546,0.998625,0.292581,1.3223
39,1839.54,1,0.273003,0.0118589,5.93786,16.3145,0.456184,0.383687,0.989464,0.285173,1.34086
40,1866.15,1,0.270882,0.0128926,5.77615,17.4286,0.461941,0.394297,0.96441,0.277952,1.30691
41,1850.12,1,0.272787,0.012399,5.86556,17.5769,0.455476,0.389601,0.970636,0.285918,1.29412
42,1883.4,1,0.273675,0.0125902,5.83036,16.6906,0.472056,0.379736,1.04743,0.288798,1.26135
43,1854.7,1,0.273163,0.0115449,5.89087,18.1363,0.469152,0.370748,1.02091,0.293607,1.22942
44,1841.69,1,0.267887,0.0118505,6.04468,18.8778,0.451031,0.393062,0.995059,0.291412,1.19829
45,1859.97,1,0.27609,0.0119609,6.12777,16.5824,0.457538,0.391949,1.03548,0.3134,1.23629
46,1870.48,1,0.273251,0.0121007,6.08647,16.9276,0.467458,0.407543,1.00926,0.309905,1.20499
47,1875.51,1,0.2709,0.0119586,5.85625,15.5284,0.474395,0.400678,0.983705,0.302058,1.20383
48,1883.41,1,0.275681,0.012165,6.13271,16.4438,0.465675,0.420392,0.962739,0.330138,1.18502
49,1879.65,1,0.276533,0.0122939,6.02732,16.9522,0.474373,0.41777,1.02887,0.321779,1.17263
50,1881.78,2,0.277047,0.0119136,6.00944,17.0008,0.467164,0.417619,1.02645,0.318036,1.24034
51,1900.35,2,0.28034,0.0119287,6.03224,14.1475,0.483898,0.424513,1.00046,0.322023,1.22324
52,1896.09,2,0.277596,0.0115896,6.08373,14.4648,0.478485,0.416093,1.0895,0.284691,1.13658
53,1903.86,2,0.276022,0.0119845,6.06993,14.8254,0.477142,0.422827,1.07054,0.301092,1.13968
54,1877.53,2,0.278772,0.011371,6.091,14.4888,0.481758,0.407,1.17476,0.27253,1.07519
55,1890.84,2,0.280115,0.0115598,6.16316,14.4989,0.477759,0.389174,1.20343,0.275701,1.19726
56,1889.9,2,0.283369,0.0111283,6.1222,13.8502,0.487862,0.386179,1.25538,0.269626,1.20772
57,1863.06,2,0.281475,0.0110286,6.10116,14.6592,0.473681,0.367276,1.29507,0.261915,1.21183
58,1914.95,2,0.275177,0.0107709,6.15063,15.1306,0.47508,0.362039,1.27566,0.257587,1.24508
59,1882.07,2,0.273734,0.0115028,6.04982,16.0152,0.474802,0.369375,1.2309,0.246682,1.25483
60,1859.31,2,0.274515,0.0122126,5.94795,15.2829,0.466797,0.380067,1.16995,0.261592,1.24488
61,1867.97,2,0.277079,0.0129381,5.96376,15.6108,0.467169,0.37955,1.13572,0.264969,1.2682
62,1852.25,2,0.278789,0.013114,5.88803,14.8285,0.470915,0.373941,1.12695,0.271091,1.27834
63,1891.84,2,0.278972,0.0134293,5.87766,14.4012,0.471916,0.377039,1.13011,0.269965,1.27829
64,1901.14,2,0.279446,0.0134606,5.94651,14.357,0.473945,0.388725,1.10466,0.275674,1.26636
65,1924.26,2,0.280544,0.0134497,6.00863,14.0805,0.477737,0.399958,1.08912,0.27823,1.26287
66,1886.35,2,0.282556,0.0133559,6.04288,13.9271,0.479627,0.401131,1.0926,0.282026,1.25926
67,1900.34,2,0.283764,0.0131757,6.06865,13.4912,0.482005,0.397212,1.08384,0.278811,1.24733
68,1901.93,2,0.284548,0.0131056,6.08543,13.3873,0.483667,0.393468,1.08292,0.279362,1.25074
69,1880.56,2,0.284951,0.0131545,6.08579,13.1986,0.484105,0.389522,1.07863,0.279458,1.2622
70,1857.39,2,0.285251,0.0131118,6.07525,13.0501,0.484484,0.387202,1.07856,0.281652,1.26909
71,1869.63,2,0.28522,0.0130813,6.0773,13.1139,0.484413,0.386204,1.08282,0.281493,1.27106
