time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.001,-0.0383502,0.001,-0.0179396,0.001,-0.0767573,0.107595,0.0185971,0.00084446,0.195612,0.107595,0.0867725,All
0.00129203,-0.0383224,0.00129203,-0.0179042,0.00129203,-0.0767238,0.124592,0.0464934,0.00109251,0.195764,0.124592,0.0916054,All
0.00166935,-0.0382866,0.00166935,-0.0178583,0.00166935,-0.0766806,0.144275,0.033946,0.00141343,0.195934,0.144275,0.0717181,All
0.00215686,-0.0382402,0.00215686,-0.0177991,0.00215686,-0.0766247,0.167066,0.00352509,0.00182861,0.196155,0.167066,0.0404675,All
0.00278673,-0.0381804,0.00278673,-0.0177226,0.00278673,-0.0765525,0.193458,-0.0326127,0.00236575,0.196441,0.193458,0.00430786,All
0.00360055,-0.038103,0.00360055,-0.0176238,0.00360055,-0.0764592,0.224019,-0.0744593,0.00306066,0.196811,0.224019,-0.037564,All
0.00465203,-0.0380031,0.00465203,-0.0174961,0.00465203,-0.0763387,0.259407,-0.0803258,0.00395971,0.197265,0.259407,-0.0435642,All
0.00601058,-0.037874,0.00601058,-0.0173311,0.00601058,-0.076183,0.300387,-0.0794303,0.00512283,0.197658,0.300387,-0.0428423,All
0.00776587,-0.0377071,0.00776587,-0.0171179,0.00776587,-0.0759818,0.347839,-0.0783933,0.00662762,0.198013,0.347839,-0.0420064,All
0.0100338,-0.0374916,0.0100338,-0.0168425,0.0100338,-0.0757219,0.402788,-0.0771926,0.00857442,0.198196,0.402788,-0.0410385,All
0.012964,-0.0372131,0.012964,-0.0164866,0.012964,-0.0753861,0.466418,-0.0758021,0.0110931,0.197998,0.466418,-0.0399177,All
0.0167499,-0.0368532,0.0167499,-0.0160268,0.0167499,-0.0749522,0.540099,-0.074192,0.0143516,0.19732,0.540099,-0.0386198,All
0.0216414,-0.0363883,0.0216414,-0.0154327,0.0216414,-0.0743915,0.625419,-0.0723276,0.0185672,0.195691,0.625419,-0.0371169,All
0.0279614,-0.0357876,0.0279614,-0.0146651,0.0279614,-0.0736672,0.724218,-0.0701686,0.0240212,0.193212,0.724218,-0.0353765,All
0.0361271,-0.0350115,0.0361271,-0.0136734,0.0361271,-0.0727313,0.838625,-0.0676686,0.0310772,0.190382,0.838625,-0.0333613,All
0.0466774,-0.0340088,0.0466774,-0.012392,0.0466774,-0.0715221,0.971104,-0.0647736,0.0402058,0.189681,0.971104,-0.0310277,All
0.0603087,-0.0327132,0.0603087,-0.0107365,0.0603087,-0.0699597,1.12451,-0.0614213,0.0520159,0.199026,1.12451,-0.0283254,All
0.0779209,-0.0310433,0.0779209,-0.0086021,0.0779209,-0.0679459,1.30215,-0.0575395,0.0672951,0.227827,1.30215,-0.0251962,All
0.100676,-0.0288986,0.100676,-0.00585916,0.100676,-0.0653592,1.50786,-0.0530444,0.0870624,0.26183,1.50786,-0.0215728,All
0.130077,-0.0261355,0.130077,-0.00232424,0.130077,-0.0620263,1.74606,-0.0478392,0.112636,0.258621,1.74606,-0.0173769,All
0.168064,-0.022588,0.168064,0.00221713,0.168064,-0.0577467,2.02189,-0.00879156,0.145722,0.208293,2.02189,0.0312094,All
0.217144,-0.0180476,0.217144,0.00803521,0.217144,-0.0522682,2.34129,-0.0277153,0.188527,0.160441,2.34129,0.0328584,All
0.280558,-0.0122048,0.280558,0.0155255,0.280558,-0.0452174,2.71115,0.0133369,0.243905,0.17447,2.71115,0.0546002,All
0.36249,-0.00564069,0.36249,0.0240674,0.36249,-0.0372698,3.13943,0.0608741,0.315549,0.212736,3.13943,0.0797767,All
0.468349,0.00229929,0.468349,0.0344799,0.468349,-0.0276399,3.39951,0.0897408,0.408239,0.227847,3.39951,0.095065,All
0.605123,0.012558,0.605123,0.0479333,0.605123,-0.0151977,3.63538,0.115921,0.528156,0.201187,3.63538,0.10893,All
0.781839,0.0258126,0.781839,0.0653155,0.781839,0.000878097,4.20967,0.179664,0.683297,0.147961,4.20967,0.14269,All
1.01016,0.0429381,1.01016,0.0877739,1.01016,0.0216485,4.87468,0.253476,0.884009,0.146168,4.87468,0.181782,All
1.30516,0.0650647,1.30516,0.116791,1.30516,0.0484846,5.64474,0.338949,1.14368,0.18115,5.64474,0.227049,All
1.68632,0.093653,1.68632,0.154282,1.68632,0.0831577,6.53645,0.437924,1.47962,0.187487,6.53645,0.279468,All
2.17878,0.13059,2.17878,0.202721,2.17878,0.127957,6.69142,0.455124,1.91425,0.179156,6.69142,0.288577,All
2.81505,0.175819,2.81505,0.262112,2.81505,0.182813,7.56903,0.552534,2.47654,0.201229,7.56903,0.340167,All
3.63714,0.171437,3.63714,0.258381,3.63714,0.177498,8.76473,-0.0588474,3.20401,0.22662,8.76473,0.0391579,All
4.69931,0.165775,4.69931,0.25356,4.69931,0.170632,9.98333,0.137411,4.14515,0.174664,9.98333,0.164905,All
6.07166,0.158459,6.07166,0.247331,6.07166,0.16176,10.1493,0.137566,5.36276,0.102146,10.1493,0.1652,All
7.32446,0.151781,7.32446,0.241646,7.32446,0.153661,11.7526,0.139067,6.60739,0.124533,11.7526,0.168051,All
7.84479,0.149007,7.84479,0.239284,7.84479,0.150297,13.2752,0.140491,6.93802,0.139988,13.2752,0.170759,All
10.1357,0.136795,10.1357,0.228886,10.1357,0.135486,13.6092,0.140804,8.976,0.21157,13.6092,0.171353,All
13.0957,0.121016,13.0957,0.215452,13.0957,0.116351,15.7591,0.142815,11.6126,0.230575,15.7591,0.175176,All
14.6479,0.112742,14.6479,0.208408,14.6479,0.106316,16.5672,0.143571,13.2139,0.230428,16.5672,0.176613,All
16.9201,0.10063,16.9201,0.198095,16.9201,0.0916273,18.2486,0.145144,15.0237,0.234445,18.2486,0.179603,All
21.8613,0.0742897,21.8613,0.175669,21.8613,0.0596835,19.8591,0.146651,19.4368,0.265101,19.8591,0.182467,All
