id,linearization
1,44.040
2,30.305
3,20.056
4,34.238
5,16.751
6,35.200
7,23.731
8,43.709
9,23.070
10,43.111
11,35.818
12,27.563
13,42.856
14,1.542
15,25.276
16,18.012
17,20.000
18,37.158
19,2.150
20,45.234
21,47.191
22,21.721
23,35.559
24,31.400
25,32.549
26,27.264
27,40.606
28,26.688
29,20.707
30,23.095
31,35.217
32,65.587
33,22.896
34,29.706
35,10.966
36,31.359
37,32.853
38,12.595
39,28.391
40,22.536
41,16.177
42,30.686
43,26.014
44,44.669
45,31.991
46,15.190
47,33.641
48,23.202
49,44.058
50,15.391
51,7.913
52,16.223
53,27.194
54,8.121
55,13.473
56,36.244
57,40.089
58,25.697
59,7.537
60,20.815
61,22.250
62,4.718
63,6.464
64,43.546
65,6.373
66,23.147
67,26.090
68,5.200
