Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.606978,1.04754,0.953916,-0.322568,0.568713,-0.976324,-0.989283,-1.96801,-1.2785,-4.32632,0.19828,0.253077,-0.322568,0.117733,0.0792495,-0.989283,0.107469,-0.123284,-4.32632,-0.150691,-0.213492,-0.606978,0.187801,0.160127,-0.989283,-0.103648,-0.0113248,-4.32632,-0.205403,-0.237456,-0.606978,-0.357923,-0.154661,-0.322568,0.173948,-0.0615977
-0.591962,1.02347,0.931554,-0.305431,0.112744,-0.93876,-0.968875,-1.85084,-1.25287,-4.24768,0.197062,0.249363,-0.305431,0.142751,0.0780901,-0.968875,0.0889905,-0.119745,-4.24768,-0.160021,-0.207546,-0.591962,0.186709,0.159022,-0.968875,-0.0886074,-0.00880838,-4.24768,-0.195946,-0.232945,-0.591962,-0.318628,-0.150912,-0.305431,0.146861,-0.0588005
-0.576946,0.999403,0.909192,-0.288293,-0.343224,-0.901196,-0.948466,-1.73366,-1.22723,-4.16905,0.195843,0.245648,-0.288293,0.167769,0.0769306,-0.948466,0.0705118,-0.116206,-4.16905,-0.16935,-0.2016,-0.576946,0.185616,0.157917,-0.948466,-0.0735665,-0.006292,-4.16905,-0.186489,-0.228435,-0.576946,-0.279333,-0.147164,-0.288293,0.119773,-0.0560034
-0.561929,0.975332,0.88683,-0.271156,-0.680985,-0.863633,-0.928057,-1.61649,-1.2016,-4.09042,0.194624,0.241934,-0.271156,0.182843,0.0757712,-0.928057,0.052033,-0.112668,-4.09042,-0.17868,-0.195655,-0.561929,0.184524,0.156813,-0.928057,-0.0585256,-0.00377563,-4.09042,-0.177032,-0.223925,-0.561929,-0.240038,-0.143416,-0.271156,0.0874089,-0.0532062
-0.546913,0.951261,0.864468,-0.254018,-0.919681,-0.826069,-0.907649,-1.49931,-1.17596,-4.01178,0.193637,0.23822,-0.254018,0.189637,0.0746118,-0.907649,0.0335543,-0.109129,-4.01178,-0.184175,-0.189709,-0.546913,0.183431,0.155708,-0.907649,-0.0434847,-0.00125925,-4.01178,-0.169263,-0.219415,-0.546913,-0.200742,-0.139667,-0.254018,0.0514607,-0.0504091
-0.531896,0.92719,0.842107,-0.236881,-1.07502,-0.788505,-0.88724,-1.38214,-1.15033,-3.93315,0.193196,0.234505,-0.236881,0.189564,0.0734524,-0.88724,0.0150755,-0.10559,-3.93315,-0.180593,-0.183763,-0.531896,0.182339,0.154603,-0.88724,-0.0284437,0.00125712,-3.93315,-0.165487,-0.214905,-0.531896,-0.161447,-0.135919,-0.236881,0.0140654,-0.0476119
-0.51688,0.903119,0.819745,-0.219743,-1.15649,-0.750941,-0.866832,-1.26497,-1.12469,-3.85451,0.192756,0.230791,-0.219743,0.183515,0.072293,-0.866832,-0.00340319,-0.102051,-3.85451,-0.177011,-0.177817,-0.51688,0.181246,0.153498,-0.866832,-0.0134028,0.00377349,-3.85451,-0.161711,-0.210394,-0.51688,-0.122152,-0.13217,-0.219743,-0.022917,-0.0448148
-0.501863,0.879318,0.797383,-0.202606,-1.16377,-0.713377,-0.846423,-1.14779,-1.09906,-3.77588,0.192315,0.227077,-0.202606,0.171735,0.0711336,-0.846423,-0.0218819,-0.0985128,-3.77588,-0.173429,-0.171872,-0.501863,0.179792,0.152393,-0.846423,0.00163813,0.00628987,-3.77588,-0.157935,-0.205884,-0.501863,-0.0904191,-0.128422,-0.202606,-0.0552701,-0.0420176
-0.486847,0.85599,0.775021,-0.185468,-1.11423,-0.675813,-0.826015,-1.03062,-1.07343,-3.69725,0.191875,0.223362,-0.185468,0.155711,0.0699742,-0.826015,-0.0403607,-0.0949741,-3.69725,-0.169847,-0.165926,-0.486847,0.177706,0.151289,-0.826015,0.0166791,0.00880624,-3.69725,-0.154158,-0.201374,-0.486847,-0.0718736,-0.124674,-0.185468,-0.0817781,-0.0392204
-0.471831,0.832661,0.752659,-0.168331,-1.06469,-0.63825,-0.805606,-0.913441,-1.04779,-3.61861,0.191434,0.219648,-0.168331,0.139688,0.0688148,-0.805606,-0.0588394,-0.0914354,-3.61861,-0.166265,-0.15998,-0.471831,0.17562,0.150184,-0.805606,0.03172,0.0113226,-3.61861,-0.150382,-0.196864,-0.471831,-0.0533281,-0.120925,-0.168331,-0.108286,-0.0364233
