Vc_abscissa,Vc_cdf,Ke_abscissa,Ke_cdf,Kpc_abscissa,Kpc_cdf,Kcp_abscissa,Kcp_cdf,split
1.65847,0,0.0147202,0,0.000814601,0,1.033e-05,0.0147059,All
2.34936,0.0147059,0.0254478,0.0147059,0.00282169,0.0147059,1.38216e-05,0.0294118,All
3.25837,0.0294118,0.0281142,0.0294118,0.00293557,0.0294118,4.64275e-05,0.0441176,All
3.61681,0.0441176,0.0297907,0.0441176,0.00299245,0.0441176,5.61929e-05,0.0588235,All
3.71241,0.0588235,0.0302572,0.0588235,0.00303258,0.0588235,6.11868e-05,0.0735294,All
3.87996,0.0735294,0.0304102,0.0735294,0.00306678,0.0735294,6.58744e-05,0.0882353,All
3.99211,0.0882353,0.030648,0.0882353,0.00306876,0.0882353,7.69216e-05,0.102941,All
4.00258,0.102941,0.0312566,0.102941,0.00309284,0.102941,8.11275e-05,0.117647,All
4.08179,0.117647,0.0317642,0.117647,0.00311032,0.117647,8.71957e-05,0.132353,All
4.29248,0.132353,0.0318084,0.132353,0.0031134,0.132353,9.1293e-05,0.147059,All
4.39012,0.147059,0.0321153,0.147059,0.00311604,0.147059,9.57409e-05,0.161765,All
4.49237,0.161765,0.0338337,0.161765,0.00316069,0.161765,0.000122234,0.176471,All
4.49856,0.176471,0.0348348,0.176471,0.0033582,0.176471,0.000138841,0.191176,All
4.60174,0.191176,0.0366513,0.191176,0.00336945,0.191176,0.000155827,0.205882,All
4.68663,0.205882,0.0368804,0.205882,0.00337702,0.205882,0.000210902,0.220588,All
4.74434,0.220588,0.0374913,0.220588,0.00337949,0.220588,0.000220958,0.235294,All
4.78779,0.235294,0.0378435,0.235294,0.00339484,0.235294,0.000222697,0.25,All
4.88662,0.25,0.0381099,0.25,0.00342378,0.25,0.000236577,0.264706,All
4.952,0.264706,0.0387303,0.264706,0.00345194,0.264706,0.000242147,0.279412,All
4.99931,0.279412,0.0394563,0.279412,0.00349728,0.279412,0.000278796,0.294118,All
5.07935,0.294118,0.0427209,0.294118,0.00352548,0.294118,0.000337503,0.308824,All
5.10968,0.308824,0.0431652,0.308824,0.00353612,0.308824,0.000357421,0.323529,All
5.21554,0.323529,0.0431831,0.323529,0.00367681,0.323529,0.000396213,0.338235,All
5.24648,0.338235,0.0433117,0.338235,0.00368334,0.338235,0.00044214,0.352941,All
5.3232,0.352941,0.04334,0.352941,0.00369539,0.352941,0.000467835,0.367647,All
5.36306,0.367647,0.0452005,0.367647,0.00369757,0.367647,0.000473646,0.382353,All
5.54009,0.382353,0.0459153,0.382353,0.00374729,0.382353,0.000539973,0.397059,All
5.73012,0.397059,0.0459621,0.397059,0.00378251,0.397059,0.000549129,0.411765,All
5.73331,0.411765,0.0459653,0.411765,0.00379004,0.411765,0.000560082,0.426471,All
5.75989,0.426471,0.0461062,0.426471,0.00382501,0.426471,0.000560252,0.441176,All
5.81431,0.441176,0.0464037,0.441176,0.00383706,0.441176,0.000596502,0.455882,All
5.84963,0.455882,0.0479645,0.455882,0.0038506,0.455882,0.000599028,0.470588,All
6.01906,0.470588,0.0485345,0.470588,0.00385508,0.470588,0.000599445,0.485294,All
6.0779,0.485294,0.0495607,0.485294,0.00390891,0.485294,0.000610611,0.5,All
6.10226,0.5,0.0496774,0.5,0.00413784,0.5,0.000671746,0.514706,All
6.34196,0.514706,0.0499793,0.514706,0.00416787,0.514706,0.000807841,0.529412,All
6.43091,0.529412,0.0508294,0.529412,0.00422826,0.529412,0.000827202,0.544118,All
6.66488,0.544118,0.0510122,0.544118,0.00423735,0.544118,0.00106293,0.558824,All
6.67958,0.558824,0.0532433,0.558824,0.00427968,0.558824,0.00112477,0.573529,All
7.07522,0.573529,0.0534263,0.573529,0.00431658,0.573529,0.00115317,0.588235,All
7.15656,0.588235,0.0538134,0.588235,0.00435841,0.588235,0.00132167,0.602941,All
7.21078,0.602941,0.053873,0.602941,0.00436221,0.602941,0.00138224,0.617647,All
7.21378,0.617647,0.054001,0.617647,0.00437991,0.617647,0.00146107,0.632353,All
7.25643,0.632353,0.0561887,0.632353,0.00439109,0.632353,0.0016188,0.647059,All
7.43518,0.647059,0.0566878,0.647059,0.00441383,0.647059,0.00173432,0.661765,All
7.44903,0.661765,0.0572623,0.661765,0.0045303,0.661765,0.00181031,0.676471,All
7.51819,0.676471,0.057633,0.676471,0.00453122,0.676471,0.00183951,0.691176,All
7.63551,0.691176,0.0579635,0.691176,0.0045861,0.691176,0.00187947,0.705882,All
7.76051,0.705882,0.0581235,0.705882,0.00465298,0.705882,0.0019815,0.720588,All
7.84645,0.720588,0.0592304,0.720588,0.00487764,0.720588,0.00220038,0.735294,All
7.89417,0.735294,0.0594747,0.735294,0.0049239,0.735294,0.00291699,0.75,All
7.96264,0.75,0.0595782,0.75,0.00507103,0.75,0.0030034,0.764706,All
8.02201,0.764706,0.0597661,0.764706,0.00509159,0.764706,0.00303301,0.779412,All
8.02596,0.779412,0.0616924,0.779412,0.00510152,0.779412,0.0033204,0.794118,All
8.03829,0.794118,0.0622413,0.794118,0.00522655,0.794118,0.00407391,0.808824,All
8.36028,0.808824,0.0622668,0.808824,0.00527954,0.808824,0.00435201,0.823529,All
8.73418,0.823529,0.0641695,0.823529,0.0053609,0.823529,0.00493619,0.838235,All
8.91964,0.838235,0.0647013,0.838235,0.00545741,0.838235,0.00543797,0.852941,All
9.04323,0.852941,0.0653416,0.852941,0.00596042,0.852941,0.0056462,0.867647,All
9.13322,0.867647,0.067915,0.867647,0.00625369,0.867647,0.00626568,0.882353,All
9.26265,0.882353,0.0685389,0.882353,0.00684928,0.882353,0.00635337,0.897059,All
9.4134,0.897059,0.068751,0.897059,0.00702696,0.897059,0.00648436,0.911765,All
9.84722,0.911765,0.0706743,0.911765,0.00722578,0.911765,0.00749252,0.926471,All
9.93621,0.926471,0.0711233,0.926471,0.00723208,0.926471,0.00801944,0.941176,All
11.5132,0.941176,0.0756949,0.941176,0.00725748,0.941176,0.00811301,0.955882,All
13.2352,0.955882,0.0818844,0.955882,0.00808274,0.955882,0.0246806,0.970588,All
13.9944,0.970588,0.0874866,0.970588,0.00870099,0.970588,0.0246976,0.985294,All
14.4385,0.985294,0.0911605,0.985294,0.00957135,0.985294,0.0248299,1,All
17.7182,1,0.112534,1,0.0153935,1,0.0248299,1,All
24.0696,1,0.148117,1,0.0186316,1,0.0248299,1,All
