Vc_abscissa,Vc_pdf,Vc_cdf,Ke_abscissa,Ke_pdf,Ke_cdf,Kpc_abscissa,Kpc_pdf,Kpc_cdf,Kcp_abscissa,Kcp_pdf,Kcp_cdf,split
1.65847,0.00835412,0.00203901,0.0147202,0.307751,0.000437843,0.000814601,37.762,0.00705069,1.033e-05,1131.11,0.0075361,All
1.88485,0.0155825,0.00469776,0.0160676,0.632709,0.00105177,0.000994572,63.5118,0.0161139,0.000261033,710.189,0.268892,All
2.11122,0.0254226,0.00929205,0.017415,1.16027,0.00223403,0.00117454,90.8823,0.0300067,0.000511736,425.765,0.405953,All
2.3376,0.0375124,0.0163783,0.0187625,1.93833,0.00429132,0.00135451,117.044,0.0487515,0.000762439,293.944,0.494431,All
2.56398,0.0512294,0.0263989,0.0201099,2.99796,0.00758441,0.00153448,140.177,0.071952,0.00101314,218.891,0.557945,All
2.79035,0.0658274,0.0396389,0.0214574,4.34742,0.012501,0.00171445,159.347,0.0989677,0.00126384,170.998,0.606413,All
3.01673,0.0805555,0.0562119,0.0228048,5.97013,0.0194233,0.00189442,174.266,0.129052,0.00151455,138.114,0.644923,All
3.2431,0.0947419,0.0760692,0.0241522,7.82655,0.0286951,0.00207439,185.06,0.161445,0.00176525,114.344,0.676419,All
3.46948,0.107842,0.099024,0.0254997,9.85895,0.0405941,0.00225436,192.091,0.195436,0.00201595,96.494,0.702747,All
3.69585,0.119456,0.124782,0.0268471,11.9977,0.0553116,0.00243433,195.836,0.230389,0.00226666,82.6855,0.725137,All
3.92223,0.129325,0.152976,0.0281946,14.1681,0.0729407,0.0026143,196.804,0.265759,0.00251736,71.7471,0.744445,All
4.1486,0.137319,0.183192,0.029542,16.2966,0.0934741,0.00279427,195.492,0.30109,0.00276806,62.9121,0.761287,All
4.37498,0.143412,0.215003,0.0308895,18.3157,0.116809,0.00297424,192.355,0.336015,0.00301877,55.6591,0.776121,All
4.60135,0.147658,0.247983,0.0322369,20.1678,0.142757,0.00315421,187.797,0.370241,0.00326947,49.622,0.789296,All
4.82773,0.15017,0.281724,0.0335843,21.8072,0.171063,0.00333418,182.164,0.403546,0.00352017,44.5369,0.801081,All
5.0541,0.151101,0.315853,0.0349318,23.201,0.201415,0.00351415,175.752,0.435763,0.00377087,40.2091,0.81169,All
5.28048,0.150627,0.350029,0.0362792,24.3289,0.233467,0.00369412,168.803,0.466774,0.00402158,36.4923,0.821293,All
5.50685,0.148932,0.383957,0.0376267,25.1825,0.266855,0.00387409,161.515,0.496502,0.00427228,33.2742,0.830029,All
5.73323,0.146202,0.41738,0.0389741,25.7631,0.301208,0.00405406,154.05,0.524899,0.00452298,30.4678,0.838011,All
5.9596,0.142616,0.450085,0.0403215,26.0806,0.336165,0.00423403,146.536,0.551948,0.00477369,28.0047,0.845335,All
6.18598,0.138339,0.481897,0.041669,26.1516,0.371382,0.004414,139.071,0.577647,0.00502439,25.83,0.852077,All
6.41235,0.133526,0.512678,0.0430164,25.9971,0.406539,0.00459397,131.733,0.602013,0.00527509,23.8999,0.858306,All
6.63873,0.128311,0.542321,0.0443639,25.6415,0.44135,0.00477395,124.58,0.625074,0.0055258,22.1784,0.864078,All
6.8651,0.122815,0.57075,0.0457113,25.1108,0.475561,0.00495392,117.655,0.646868,0.0057765,20.6361,0.869442,All
7.09148,0.117143,0.597912,0.0470587,24.4315,0.508954,0.00513389,110.986,0.667438,0.0060272,19.2488,0.874438,All
7.31785,0.111382,0.623779,0.0484062,23.6297,0.541346,0.00531386,104.595,0.686833,0.0062779,17.9962,0.879104,All
7.54423,0.105607,0.648339,0.0497536,22.7303,0.57259,0.00549383,98.4936,0.705103,0.00652861,16.8611,0.883471,All
7.7706,0.0998795,0.671597,0.0511011,21.7566,0.602568,0.0056738,92.6864,0.722302,0.00677931,15.8292,0.887567,All
7.99698,0.0942499,0.693567,0.0524485,20.7297,0.631197,0.00585377,87.1745,0.738483,0.00703001,14.8883,0.891416,All
8.22335,0.0887577,0.714279,0.0537959,19.6688,0.658417,0.00603374,81.9548,0.753697,0.00728072,14.0278,0.895039,All
8.44973,0.0834338,0.733765,0.0551434,18.5904,0.684194,0.00621371,77.0212,0.767999,0.00753142,13.2389,0.898455,All
