pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.26974,0.00229885,-2.1447,0.00229885,-2.24164,0.00229885,All
-1.21642,0.0045977,-2.09189,0.0045977,-2.17834,0.0045977,All
-1.18981,0.00689655,-1.9907,0.00689655,-2.10022,0.00689655,All
-1.15313,0.0091954,-1.98532,0.0091954,-2.07,0.0091954,All
-1.13986,0.0114943,-1.92151,0.0114943,-2.02598,0.0114943,All
-1.12978,0.0137931,-1.90478,0.0137931,-1.91576,0.0137931,All
-1.08324,0.016092,-1.80005,0.016092,-1.91168,0.016092,All
-1.06951,0.0183908,-1.75828,0.0183908,-1.89975,0.0183908,All
-1.05659,0.0206897,-1.72609,0.0206897,-1.87439,0.0206897,All
-1.05152,0.0229885,-1.71715,0.0229885,-1.87119,0.0229885,All
-1.05146,0.0252874,-1.71579,0.0252874,-1.86642,0.0252874,All
-1.0488,0.0275862,-1.61772,0.0275862,-1.84779,0.0275862,All
-1.02103,0.0298851,-1.59811,0.0298851,-1.83765,0.0298851,All
-1.0028,0.0321839,-1.58556,0.0321839,-1.80774,0.0321839,All
-0.986425,0.0344828,-1.57572,0.0344828,-1.71824,0.0344828,All
-0.972159,0.0367816,-1.56427,0.0367816,-1.68098,0.0367816,All
-0.938289,0.0390805,-1.53052,0.0390805,-1.67455,0.0390805,All
-0.925464,0.0413793,-1.51383,0.0413793,-1.65687,0.0413793,All
-0.913814,0.0436782,-1.49509,0.0436782,-1.62776,0.0436782,All
-0.857012,0.045977,-1.45282,0.045977,-1.59187,0.045977,All
-0.827482,0.0482759,-1.43858,0.0482759,-1.58487,0.0482759,All
-0.82527,0.0505747,-1.43512,0.0505747,-1.57881,0.0505747,All
-0.822832,0.0528736,-1.42685,0.0528736,-1.5715,0.0528736,All
-0.813638,0.0551724,-1.41412,0.0551724,-1.55893,0.0551724,All
-0.801385,0.0574713,-1.40101,0.0574713,-1.55795,0.0574713,All
-0.773899,0.0597701,-1.39999,0.0597701,-1.55435,0.0597701,All
-0.756496,0.062069,-1.39982,0.062069,-1.55279,0.062069,All
-0.752462,0.0643678,-1.39941,0.0643678,-1.54749,0.0643678,All
-0.736063,0.0666667,-1.36796,0.0666667,-1.54145,0.0666667,All
-0.7152,0.0689655,-1.3649,0.0689655,-1.51735,0.0689655,All
-0.71295,0.0712644,-1.35164,0.0712644,-1.50245,0.0712644,All
-0.704564,0.0735632,-1.34065,0.0735632,-1.48525,0.0735632,All
-0.702352,0.0758621,-1.32517,0.0758621,-1.48123,0.0758621,All
-0.698384,0.0781609,-1.31242,0.0781609,-1.43438,0.0781609,All
-0.69092,0.0804598,-1.29591,0.0804598,-1.43179,0.0804598,All
-0.689654,0.0827586,-1.27495,0.0827586,-1.42719,0.0827586,All
-0.686828,0.0850575,-1.27264,0.0850575,-1.42086,0.0850575,All
-0.686528,0.0873563,-1.25466,0.0873563,-1.40179,0.0873563,All
-0.672503,0.0896552,-1.22719,0.0896552,-1.39765,0.0896552,All
-0.670979,0.091954,-1.21883,0.091954,-1.37709,0.091954,All
-0.652181,0.0942529,-1.21065,0.0942529,-1.36622,0.0942529,All
-0.651086,0.0965517,-1.18534,0.0965517,-1.3379,0.0965517,All
-0.645859,0.0988506,-1.17575,0.0988506,-1.31619,0.0988506,All
-0.644943,0.101149,-1.16466,0.101149,-1.30486,0.101149,All
-0.64395,0.103448,-1.15673,0.103448,-1.29265,0.103448,All
-0.641919,0.105747,-1.1353,0.105747,-1.28033,0.105747,All
-0.640001,0.108046,-1.12529,0.108046,-1.27812,0.108046,All
-0.634033,0.110345,-1.09179,0.110345,-1.27605,0.110345,All
-0.631002,0.112644,-1.08969,0.112644,-1.26599,0.112644,All
-0.62915,0.114943,-1.07902,0.114943,-1.26242,0.114943,All
-0.62904,0.117241,-1.03156,0.117241,-1.25897,0.117241,All
-0.628584,0.11954,-1.02178,0.11954,-1.24792,0.11954,All
-0.626058,0.121839,-0.982859,0.121839,-1.21265,0.121839,All
-0.624,0.124138,-0.950764,0.124138,-1.19138,0.124138,All
-0.622609,0.126437,-0.943,0.126437,-1.18395,0.126437,All
-0.617904,0.128736,-0.927416,0.128736,-1.18253,0.128736,All
-0.617757,0.131034,-0.917446,0.131034,-1.1653,0.131034,All
-0.617202,0.133333,-0.90642,0.133333,-1.16185,0.133333,All
-0.615192,0.135632,-0.84715,0.135632,-1.15739,0.135632,All
-0.615036,0.137931,-0.841169,0.137931,-1.13859,0.137931,All
-0.611208,0.14023,-0.820509,0.14023,-1.12143,0.14023,All
-0.610133,0.142529,-0.770344,0.142529,-1.11886,0.142529,All
-0.609504,0.144828,-0.767444,0.144828,-1.10668,0.144828,All
-0.607938,0.147126,-0.758296,0.147126,-1.09593,0.147126,All
-0.601663,0.149425,-0.744563,0.149425,-1.09304,0.149425,All
-0.599992,0.151724,-0.728814,0.151724,-1.09144,0.151724,All
-0.598841,0.154023,-0.725296,0.154023,-1.07472,0.154023,All
-0.596105,0.156322,-0.724812,0.156322,-1.06824,0.156322,All
-0.592605,0.158621,-0.695286,0.158621,-1.04957,0.158621,All
-0.592171,0.16092,-0.690554,0.16092,-1.03497,0.16092,All
-0.589949,0.163218,-0.688271,0.163218,-1.02489,0.163218,All
-0.586325,0.165517,-0.664141,0.165517,-1.01552,0.165517,All
-0.585994,0.167816,-0.659375,0.167816,-1.00861,0.167816,All
-0.584541,0.170115,-0.653445,0.170115,-1.00101,0.170115,All
-0.575547,0.172414,-0.653402,0.172414,-0.999912,0.172414,All
-0.57502,0.174713,-0.648729,0.174713,-0.998282,0.174713,All
-0.57059,0.177011,-0.639613,0.177011,-0.996259,0.177011,All
-0.568245,0.17931,-0.634517,0.17931,-0.995737,0.17931,All
-0.564995,0.181609,-0.627497,0.181609,-0.992411,0.181609,All
-0.562756,0.183908,-0.62617,0.183908,-0.987586,0.183908,All
-0.555691,0.186207,-0.618943,0.186207,-0.958651,0.186207,All
-0.551064,0.188506,-0.606515,0.188506,-0.941278,0.188506,All
-0.547297,0.190805,-0.588828,0.190805,-0.938784,0.190805,All
-0.546761,0.193103,-0.583118,0.193103,-0.936461,0.193103,All
-0.544752,0.195402,-0.576169,0.195402,-0.922274,0.195402,All
-0.542763,0.197701,-0.572804,0.197701,-0.921869,0.197701,All
-0.540227,0.2,-0.554789,0.2,-0.909655,0.2,All
-0.532614,0.202299,-0.547605,0.202299,-0.897236,0.202299,All
-0.528915,0.204598,-0.543376,0.204598,-0.853461,0.204598,All
-0.520179,0.206897,-0.539917,0.206897,-0.829313,0.206897,All
-0.519492,0.209195,-0.538846,0.209195,-0.82211,0.209195,All
-0.519097,0.211494,-0.534765,0.211494,-0.820225,0.211494,All
-0.517821,0.213793,-0.507704,0.213793,-0.806733,0.213793,All
-0.514811,0.216092,-0.500794,0.216092,-0.803805,0.216092,All
-0.514802,0.218391,-0.49488,0.218391,-0.803599,0.218391,All
-0.511606,0.22069,-0.489926,0.22069,-0.759327,0.22069,All
-0.502242,0.222989,-0.481685,0.222989,-0.749518,0.222989,All
-0.499427,0.225287,-0.47462,0.225287,-0.730955,0.225287,All
-0.497433,0.227586,-0.449329,0.227586,-0.723236,0.227586,All
-0.493186,0.229885,-0.447888,0.229885,-0.701081,0.229885,All
-0.492499,0.232184,-0.440026,0.232184,-0.678428,0.232184,All
-0.488695,0.234483,-0.431115,0.234483,-0.671707,0.234483,All
-0.483982,0.236782,-0.427279,0.236782,-0.653736,0.236782,All
-0.483136,0.23908,-0.420166,0.23908,-0.649015,0.23908,All
-0.475363,0.241379,-0.406267,0.241379,-0.641546,0.241379,All
-0.474417,0.243678,-0.395416,0.243678,-0.633008,0.243678,All
