pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.10854,0.119519,-2.04368,0.0476783,-2.1209,0.0498674,All
-0.786135,0.276387,-1.84163,0.0476783,-1.87943,0.0897612,All
-0.463732,1.24001,-1.63958,0.0953566,-1.63796,0.159576,All
-0.14133,0.582653,-1.43754,0.190713,-1.39649,0.179522,All
0.181073,0.351086,-1.23549,0.166874,-1.15501,0.219416,All
0.503475,0.209158,-1.03344,0.107276,-0.913542,0.249337,All
0.825878,0.119519,-0.831394,0.119196,-0.672069,0.22939,All
1.14828,0.141928,-0.629347,0.321829,-0.430597,0.329125,All
1.47068,0.0746992,-0.427299,0.250311,-0.189124,0.508647,All
1.79309,0.0448195,-0.225252,0.357587,0.0523482,0.428859,All
2.11549,0,-0.0232044,0.548301,0.293821,0.329125,All
2.43789,0.0224097,0.178843,0.441024,0.535293,0.339098,All
2.76029,0.0224097,0.38089,0.548301,0.776766,0.408912,All
3.0827,0.0149398,0.582938,0.643657,1.01824,0.289231,All
3.4051,0,0.784985,0.488703,1.25971,0.22939,All
3.7275,0,0.987033,0.345668,1.50118,0.109708,All
4.0499,0.00746992,1.18908,0.131115,1.74266,0.0797878,All
4.37231,0.00746992,1.39113,0.107276,1.98413,0.0598408,All
4.69471,0,1.59317,0.083437,2.2256,0.0199469,All
5.01711,0,1.79522,0.0953566,2.46707,0.0199469,All
5.33951,0.0149398,1.99727,0.0476783,2.70855,0.00997347,All
