standEta_Vc_abscissa,standEta_Vc_cdf,standEta_Ke_abscissa,standEta_Ke_cdf,standEta_Kpc_abscissa,standEta_Kpc_cdf,standEta_Kcp_abscissa,standEta_Kcp_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.12428,0.0147059,-1.7497,0.0147059,-0.505955,0.0147059,-2.43064,0.0147059,All
-1.42193,0.0294118,-1.46247,0.0294118,-0.443892,0.0294118,-2.26705,0.0294118,All
-1.19783,0.0441176,-1.2955,0.0441176,-0.413794,0.0441176,-1.5863,0.0441176,All
-1.14181,0.0588235,-1.25071,0.0588235,-0.392898,0.0588235,-1.47905,0.0588235,All
-1.04702,0.0735294,-1.23617,0.0735294,-0.375309,0.0735294,-1.43122,0.0735294,All
-0.985833,0.0882353,-1.21371,0.0882353,-0.374295,0.0882353,-1.38975,0.0882353,All
-0.980206,0.102941,-1.15703,0.102941,-0.362032,0.102941,-1.30264,0.102941,All
-0.938127,0.117647,-1.11059,0.117647,-0.353196,0.117647,-1.27273,0.117647,All
-0.830057,0.132353,-1.10659,0.132353,-0.351642,0.132353,-1.23221,0.132353,All
-0.781761,0.147059,-1.07891,0.147059,-0.350314,0.147059,-1.20641,0.147059,All
-0.732323,0.161765,-0.928648,0.161765,-0.327998,0.161765,-1.17968,0.161765,All
-0.729364,0.176471,-0.844595,0.176471,-0.232921,0.176471,-1.04243,0.176471,All
-0.680671,0.191176,-0.698062,0.191176,-0.227676,0.191176,-0.97086,0.191176,All
-0.641421,0.205882,-0.680096,0.205882,-0.224156,0.205882,-0.906015,0.205882,All
-0.615141,0.220588,-0.632745,0.220588,-0.223007,0.220588,-0.735981,0.220588,All
-0.595562,0.235294,-0.605789,0.235294,-0.215901,0.235294,-0.70981,0.235294,All
-0.551692,0.25,-0.585565,0.25,-0.202585,0.25,-0.705406,0.25,All
-0.523153,0.264706,-0.53902,0.264706,-0.189737,0.264706,-0.671438,0.264706,All
-0.502733,0.279412,-0.485482,0.279412,-0.169268,0.279412,-0.658364,0.279412,All
-0.468629,0.294118,-0.256326,0.294118,-0.156673,0.294118,-0.579181,0.294118,All
-0.455842,0.308824,-0.226502,0.308824,-0.151945,0.308824,-0.471819,0.308824,All
-0.411813,0.323529,-0.225309,0.323529,-0.0907491,0.323529,-0.439605,0.323529,All
-0.39911,0.338235,-0.216737,0.338235,-0.0879665,0.338235,-0.381715,0.338235,All
-0.367938,0.352941,-0.214851,0.352941,-0.0828436,0.352941,-0.320097,0.352941,All
-0.351921,0.367647,-0.0936899,0.367647,-0.0819168,0.367647,-0.28836,0.367647,All
-0.282185,0.382353,-0.0484585,0.382353,-0.0609664,0.382353,-0.281425,0.382353,All
