popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.0622838,2.2851,0.0622838,0.0163227,0.108245,0.000800747,-0.0811416,0.000800747,0.000209852,0.00139164,All
0.0728592,2.2681,0.0728592,0.0190942,0.126624,0.00104235,-0.0809224,0.00104235,0.000273169,0.00181154,All
0.0852302,2.31917,0.0852302,0.0223363,0.148124,0.00135686,-0.0806356,0.00135686,0.000355591,0.00235812,All
0.0997017,2.38702,0.0997017,0.0261288,0.173275,0.00176625,-0.0802603,0.00176625,0.000462882,0.00306963,All
0.11663,2.41932,0.11663,0.0305653,0.202695,0.00229918,-0.0797718,0.00229918,0.000602545,0.00399581,All
0.136433,2.45318,0.136433,0.035755,0.237112,0.0029929,-0.0791359,0.0029929,0.000784348,0.00520145,All
0.159599,2.46837,0.159599,0.041826,0.277371,0.00389593,-0.0783011,0.00389593,0.00102101,0.00677085,All
0.186697,2.45403,0.186697,0.0489277,0.324467,0.00507143,-0.0772047,0.00507143,0.00132907,0.00881379,All
0.218397,2.4373,0.218397,0.0572353,0.379559,0.0066016,-0.0757632,0.0066016,0.00173008,0.0114731,All
0.25548,2.41772,0.25548,0.0669535,0.444006,0.00859347,-0.0738634,0.00859347,0.00225209,0.0149349,All
0.298858,2.45205,0.298858,0.0783217,0.519395,0.0111863,-0.0713518,0.0111863,0.0029316,0.0194411,All
0.349602,2.49973,0.349602,0.0916202,0.607584,0.0145615,-0.0680315,0.0145615,0.00381614,0.0253069,All
0.408962,2.55552,0.408962,0.107177,0.710748,0.0189551,-0.0636261,0.0189551,0.00496756,0.0329427,All
0.478401,2.62078,0.478401,0.125374,0.831428,0.0246744,-0.057806,0.0246744,0.0064664,0.0428823,All
0.55963,2.69711,0.55963,0.146662,0.972598,0.0321192,-0.0501435,0.0321192,0.00841748,0.055821,All
0.654651,2.78641,0.654651,0.171564,1.13774,0.0418104,-0.0401937,0.0418104,0.0109572,0.0726636,All
0.765807,2.89087,0.765807,0.200695,1.33092,0.0544256,-0.0276295,0.0544256,0.0142633,0.094588,All
0.895835,3.01307,0.895835,0.234771,1.5569,0.0708472,-0.0119892,0.0708472,0.0185669,0.123128,All
1.04794,3.15602,1.04794,0.274634,1.82125,0.0922236,0.00839791,0.0922236,0.024169,0.160278,All
1.22587,3.32323,1.22587,0.321265,2.13048,0.12005,0.0370626,0.12005,0.0314614,0.208638,All
1.43402,3.51884,1.43402,0.375813,2.49223,0.156272,0.0752498,0.156272,0.0409541,0.271589,All
1.67751,3.74766,1.67751,0.439624,2.91539,0.203423,0.119997,0.203423,0.053311,0.353535,All
1.96233,4.01534,1.96233,0.514269,3.4104,0.264801,0.175678,0.264801,0.0693963,0.460205,All
2.29552,4.60471,2.29552,0.601588,3.98946,0.344698,0.257441,0.344698,0.0903348,0.599061,All
2.68529,5.07123,2.68529,0.703733,4.66684,0.448702,0.364495,0.448702,0.117591,0.779812,All
3.14123,6.07091,3.14123,0.823222,5.45924,0.584086,0.482947,0.584086,0.153071,1.0151,All
3.22954,6.26454,3.22954,0.846366,5.61272,0.76032,0.635936,0.76032,0.199257,1.32138,All
3.67459,7.24033,3.67459,0.962999,6.38618,0.989727,0.860995,0.989727,0.259378,1.72008,All
4.29851,8.6083,4.29851,1.12651,7.47051,1.28835,1.16381,1.28835,0.337638,2.23907,All
5.02837,10.2086,5.02837,1.31778,8.73895,1.67708,1.5568,1.67708,0.439512,2.91465,All
5.88215,12.0805,5.88215,1.54153,10.2228,2.1831,2.09836,2.1831,0.572124,3.79407,All
6.3968,13.2089,6.3968,1.67641,11.1172,2.84179,2.7912,2.84179,0.744748,4.93884,All
6.88089,14.2703,6.88089,1.80327,11.9585,3.69923,3.54714,3.69923,0.969457,6.42901,All
