iteration,convergenceIndicator,phase,Kcp_pop,Ke_pop,Kpc_pop,Vc_pop,b,omega_Kcp,omega_Ke,omega_Kpc,omega_Vc
1,2563.92,1,0.005,0.05,0.005,10,0.3,0.5,0.5,0.5,0.5
2,2035,1,0.00257516,0.0451239,0.00593417,7.12921,0.477341,0.741331,0.48734,0.846169,0.527695
3,1985.66,1,0.00201598,0.0447608,0.00618966,7.64653,0.507346,0.871614,0.475,0.85704,0.565529
4,2000.36,1,0.00185669,0.0440923,0.00542552,7.70368,0.50198,0.978003,0.462973,1.11234,0.58915
5,2004.4,1,0.00204802,0.0441756,0.00583915,7.46986,0.4871,0.977011,0.45125,1.11766,0.574233
6,1995.81,1,0.00194648,0.0459248,0.00509553,6.99291,0.482574,1.06902,0.439824,1.10759,0.60009
7,1967.69,1,0.00176278,0.0457217,0.00522632,6.98824,0.468095,1.18805,0.428687,1.08073,0.584896
8,1937.41,1,0.00161935,0.0452389,0.00539099,7.02423,0.45781,1.21113,0.417833,1.08899,0.596916
9,1945.69,1,0.00152152,0.0444217,0.00522006,7.28112,0.459714,1.19143,0.407253,1.06142,0.581802
10,1938.78,1,0.00154416,0.045366,0.00549109,6.86327,0.458476,1.24428,0.396941,1.03454,0.573591
11,1939.52,1,0.00142574,0.0454516,0.00439036,6.69525,0.451768,1.31148,0.396546,1.05031,0.566925
12,1950.69,1,0.00153638,0.0452831,0.00404517,6.98549,0.460111,1.27827,0.395221,1.07573,0.561532
13,1996.36,1,0.00140606,0.0451644,0.00399834,6.79887,0.473851,1.33052,0.418163,1.14405,0.623718
14,1970.85,1,0.00125877,0.0445685,0.00373251,6.97517,0.468887,1.29683,0.407575,1.20415,0.636073
15,1968.01,1,0.00123399,0.0451431,0.00361972,6.68864,0.461102,1.26699,0.397255,1.17366,0.639945
16,1961.98,1,0.00126078,0.0444782,0.00318114,6.7979,0.441278,1.35919,0.391776,1.24799,0.623742
17,1958.23,1,0.00129119,0.0455551,0.00359495,6.78812,0.453446,1.37917,0.381856,1.21639,0.60847
18,1957.25,1,0.00128059,0.0460523,0.00346361,6.62507,0.448399,1.3782,0.385168,1.20509,0.593063
19,1896.87,1,0.00135473,0.0476253,0.0034983,6.26908,0.427315,1.40923,0.375415,1.17458,0.578046
20,1905.79,1,0.00140095,0.04772,0.00292991,6.07057,0.427626,1.38778,0.365909,1.19376,0.572472
21,1927.11,1,0.00146863,0.0477793,0.00269819,6.04003,0.431206,1.43554,0.356644,1.16354,0.580229
22,1902.9,1,0.00140179,0.0478798,0.0026137,6.06109,0.429976,1.45446,0.352823,1.27041,0.565537
23,1902.79,1,0.00133508,0.0474212,0.00286852,6.1104,0.426054,1.46344,0.343889,1.23824,0.557451
24,1896.72,1,0.00128106,0.047591,0.00318137,6.01202,0.431267,1.42639,0.339274,1.20689,0.560654
25,1900.19,1,0.00123706,0.0480439,0.00327378,5.99834,0.433294,1.40809,0.349287,1.17633,0.62902
26,1907.9,1,0.00122211,0.0479723,0.00332025,6.11711,0.448113,1.37244,0.367409,1.14655,0.628589
27,1916.05,1,0.00117827,0.0472327,0.00348983,6.19955,0.44239,1.38029,0.358573,1.11751,0.612673
28,1916.05,1,0.00119402,0.0476202,0.00362233,5.92956,0.433678,1.4419,0.358286,1.11854,0.59716
29,1917.26,1,0.0012335,0.0476999,0.00326314,6.10728,0.441945,1.47328,0.349214,1.09022,0.605638
30,1868.03,1,0.00121942,0.0478291,0.00334811,6.1872,0.430414,1.44435,0.340372,1.06261,0.590303
31,1898.35,1,0.00130143,0.0473387,0.00322262,6.33953,0.444388,1.50755,0.349844,1.03571,0.575356
32,1910.99,1,0.00120708,0.0467156,0.00374471,6.47192,0.444045,1.52492,0.346335,1.00948,0.578588
33,1903.75,1,0.00122901,0.0475101,0.00418647,6.33289,0.451091,1.49048,0.367187,0.983922,0.563938
34,1878.45,1,0.00115792,0.0467984,0.00394136,6.21639,0.432176,1.5036,0.35789,0.959009,0.549658
35,1869.61,1,0.00109637,0.0464294,0.00363666,6.25495,0.431052,1.57769,0.348828,0.934726,0.535741
36,1897.08,1,0.00111506,0.0482077,0.00367011,6.03923,0.450494,1.54091,0.358136,0.922913,0.539928
37,1913.55,1,0.00118108,0.047947,0.00346827,5.93003,0.434588,1.50189,0.375987,0.95182,0.559459
38,1884.7,1,0.00108802,0.0467681,0.00337386,6.43114,0.432021,1.53356,0.386631,0.92772,0.597541
39,1926.27,1,0.00098476,0.0468052,0.00354216,6.24977,0.439693,1.55757,0.390019,0.916428,0.631825
40,1920.02,1,0.00104112,0.0465969,0.003534,6.42802,0.448779,1.51814,0.380143,0.944643,0.643916
41,1918.5,1,0.00105545,0.0465598,0.00349175,6.27036,0.445867,1.4797,0.380316,0.920724,0.627611
42,1897.41,1,0.00105214,0.0456481,0.00387052,6.78619,0.448131,1.52515,0.373215,0.897411,0.61172
43,1915.72,1,0.00102248,0.0457646,0.00393343,6.58759,0.448464,1.56291,0.363765,0.895183,0.602506
44,1918.49,1,0.00110044,0.0460665,0.00409382,6.45806,0.434785,1.52333,0.369857,0.894824,0.636153
45,1886.19,1,0.000985492,0.0459247,0.0041025,6.59144,0.424489,1.64164,0.361564,0.942254,0.620045
46,1861.14,1,0.000984285,0.0462266,0.00405113,6.71361,0.424183,1.7188,0.352409,0.948184,0.604345
47,1883.04,1,0.000905438,0.0452187,0.00383398,6.76376,0.42091,1.67528,0.353881,0.968043,0.612167
48,1821.89,1,0.000919972,0.0461123,0.00356177,6.83086,0.427853,1.63286,0.350198,0.943532,0.596666
49,1851.46,1,0.000928809,0.0450731,0.00355605,6.97069,0.425102,1.59151,0.358617,0.919641,0.581558
50,1854.41,2,0.00104971,0.0457178,0.00339707,6.99629,0.440284,1.55122,0.349536,0.896355,0.58229
51,1873.5,2,0.00102964,0.0450075,0.00316733,7.06206,0.449714,1.52399,0.349336,0.911603,0.567547
52,1874.41,2,0.0010375,0.0451963,0.00323181,6.89713,0.444763,1.55209,0.328691,0.825776,0.539392
53,1859.47,2,0.000947883,0.045727,0.00320627,6.88919,0.467988,1.56756,0.299922,0.836268,0.550807
54,1894.29,2,0.000917526,0.0451001,0.00341928,7.06153,0.467581,1.67239,0.315058,0.811132,0.568184
55,1946.02,2,0.00092563,0.0447513,0.00361964,6.96097,0.463989,1.71415,0.311206,0.871667,0.575778
56,1917.92,2,0.000879514,0.0452488,0.00380659,6.81612,0.453668,1.72466,0.324848,0.837388,0.570437
57,1871.35,2,0.000933653,0.0457361,0.0037972,6.75346,0.447074,1.67779,0.328679,0.866134,0.533947
58,1900.16,2,0.000942497,0.0463262,0.00362933,6.64029,0.456938,1.68858,0.329195,0.88381,0.540127
59,1875.41,2,0.00097431,0.0471943,0.00397957,6.50435,0.455425,1.68233,0.335283,0.847902,0.533611
60,1834.25,2,0.000911338,0.0472898,0.00431006,6.28713,0.440562,1.66629,0.33794,0.801951,0.520508
61,1843.09,2,0.000918439,0.0476283,0.00441697,6.23852,0.442038,1.64085,0.337426,0.753416,0.517361
62,1825.29,2,0.000886244,0.0478289,0.00424921,6.19001,0.437402,1.66468,0.34181,0.730924,0.51234
63,1844.48,2,0.000887416,0.0480723,0.0042406,6.14741,0.440084,1.67685,0.338129,0.743708,0.502783
