time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.001,-0.100727,0.001,-0.0530227,0.001,-0.108999,0.0622838,0.00665311,0.000800747,0.126051,0.0622838,0.118558,All
0.00129203,-0.100705,0.00129203,-0.052992,0.00129203,-0.108965,0.0728592,0.0129504,0.00104235,0.1269,0.0728592,0.0523925,All
0.00166935,-0.100677,0.00166935,-0.0529523,0.00166935,-0.108921,0.0852302,0.0295756,0.00135686,0.127992,0.0852302,0.0717106,All
0.00215686,-0.100641,0.00215686,-0.0529011,0.00215686,-0.108863,0.0997017,0.0448095,0.00176625,0.129393,0.0997017,0.110053,All
0.00278673,-0.100594,0.00278673,-0.0528349,0.00278673,-0.108789,0.11663,0.0408327,0.00229918,0.131218,0.11663,0.105523,All
0.00360055,-0.100533,0.00360055,-0.0527494,0.00360055,-0.108693,0.136433,0.0345765,0.0029929,0.133593,0.136433,0.0959185,All
0.00465203,-0.100455,0.00465203,-0.0526389,0.00465203,-0.108569,0.159599,0.0195382,0.00389593,0.136617,0.159599,0.0566961,All
0.00601058,-0.100354,0.00601058,-0.0524961,0.00601058,-0.108409,0.186697,-0.00611782,0.00507143,0.140457,0.186697,-0.0199831,All
0.00776587,-0.100224,0.00776587,-0.0523117,0.00776587,-0.108203,0.218397,-0.036069,0.0066016,0.14531,0.218397,-0.109474,All
0.0100338,-0.100055,0.0100338,-0.0520733,0.0100338,-0.107935,0.25548,-0.0711057,0.00859347,0.15138,0.25548,-0.214161,All
0.012964,-0.0998374,0.012964,-0.0517654,0.012964,-0.10759,0.298858,-0.0750255,0.0111863,0.158834,0.298858,-0.223023,All
0.0167499,-0.099556,0.0167499,-0.0513676,0.0167499,-0.107145,0.349602,-0.0747284,0.0145615,0.167868,0.349602,-0.218427,All
0.0216414,-0.0991925,0.0216414,-0.0508535,0.0216414,-0.106569,0.408962,-0.0743809,0.0189551,0.178253,0.408962,-0.21305,All
0.0279614,-0.0987227,0.0279614,-0.0501894,0.0279614,-0.105824,0.478401,-0.0739743,0.0246744,0.189812,0.478401,-0.206761,All
0.0361271,-0.0981158,0.0361271,-0.0493313,0.0361271,-0.104863,0.55963,-0.0734987,0.0321192,0.20102,0.55963,-0.199403,All
0.0466774,-0.0973316,0.0466774,-0.0482226,0.0466774,-0.10362,0.654651,-0.0729424,0.0418104,0.209434,0.654651,-0.190796,All
0.0603087,-0.0963185,0.0603087,-0.0467901,0.0603087,-0.102015,0.765807,-0.0722916,0.0544256,0.210305,0.765807,-0.180728,All
0.0779209,-0.0950127,0.0779209,-0.0449432,0.0779209,-0.0999458,0.895835,-0.0715303,0.0708472,0.199104,0.895835,-0.16895,All
0.100676,-0.0933357,0.100676,-0.0425691,0.100676,-0.0972882,1.04794,-0.0706398,0.0922236,0.181576,1.04794,-0.155173,All
0.130077,-0.0911753,0.130077,-0.0395093,0.130077,-0.0938643,1.22587,-0.069598,0.12005,0.183824,1.22587,-0.139056,All
0.168064,-0.0884018,0.168064,-0.0355775,0.168064,-0.0894682,1.43402,-0.0683794,0.156272,0.206511,1.43402,-0.120202,All
0.217144,-0.0848526,0.217144,-0.0305386,0.217144,-0.0838413,1.67751,-0.0669538,0.203423,0.202132,1.67751,-0.0981476,All
0.280558,-0.0802855,0.280558,-0.0240505,0.280558,-0.0766,1.96233,-0.0652862,0.264801,0.167808,1.96233,-0.0723482,All
0.36249,-0.0751657,0.36249,-0.0166136,0.36249,-0.068456,2.29552,-0.0210546,0.344698,0.166151,2.29552,0.0116476,All
0.468349,-0.0689797,0.468349,-0.00752445,0.468349,-0.0585995,2.68529,-0.0266177,0.448702,0.188371,2.68529,0.00544602,All
0.605123,-0.0609872,0.605123,0.00421903,0.605123,-0.0458645,3.14123,0.0125561,0.584086,0.157569,3.14123,0.0318823,All
0.781839,-0.0506607,0.781839,0.019392,0.781839,-0.0294105,3.22954,0.0201437,0.76032,0.103742,3.22954,0.0370028,All
1.01016,-0.0373185,1.01016,0.038996,1.01016,-0.00815143,3.67459,0.0583813,0.989727,0.094742,3.67459,0.0628072,All
1.30516,-0.0200799,1.30516,0.064325,1.30516,0.019316,4.29851,0.111987,1.28835,0.123292,4.29851,0.098983,All
1.68632,0.00219295,1.68632,0.0970509,1.68632,0.0548049,5.02837,0.174695,1.67708,0.163309,5.02837,0.141301,All
2.17878,0.0309702,2.17878,0.139334,2.17878,0.100658,5.88215,0.24805,2.1831,0.204513,5.88215,0.190805,All
2.81505,0.0661848,2.81505,0.191237,2.81505,0.156766,6.3968,0.292269,2.84179,0.219152,6.3968,0.220645,All
3.63714,0.0621574,3.63714,0.189591,3.63714,0.150308,6.88089,0.333861,3.69923,0.168169,6.88089,0.248714,All
4.69931,0.0569538,4.69931,0.187464,4.69931,0.141964,8.04922,0.434241,4.81538,0.0890123,8.04922,0.316455,All
6.07166,0.0502306,6.07166,0.184716,6.07166,0.131184,9.41592,-0.0486276,6.26831,0.134577,9.41592,0.0285772,All
7.32446,0.0440932,7.32446,0.182207,7.32446,0.121343,9.56406,0.00302123,8.15961,0.208438,9.56406,0.0576627,All
7.84479,0.0415441,7.84479,0.181166,7.84479,0.117255,11.0147,0.0732723,8.52174,0.210914,11.0147,0.141902,All
10.1357,0.0303207,10.1357,0.176578,10.1357,0.099259,12.7313,0.0720591,10.6216,0.193082,12.7313,0.144972,All
13.0957,0.0158198,13.0957,0.170652,13.0957,0.0760072,12.8849,0.0719506,13.8264,0.218664,12.8849,0.145247,All
14.6479,0.0082155,14.6479,0.167544,14.6479,0.0638138,15.0727,0.0704045,17.0427,0.304832,15.0727,0.14916,All
16.9201,-0.00291584,16.9201,0.162994,16.9201,0.045965,15.8986,0.0698208,17.9981,0.327847,15.8986,0.150638,All
21.8613,-0.0271229,21.8613,0.1531,21.8613,0.00714951,17.6319,0.0685958,23.4286,0.358247,17.6319,0.153738,All
21.9714,-0.0276622,21.9714,0.15288,21.9714,0.00628489,19.0658,0.0675824,25.5636,0.346961,19.0658,0.156303,All
28.2455,-0.0364529,28.2455,0.139249,28.2455,-0.0155824,20.6257,0.06648,30.4976,0.287619,20.6257,0.159093,All
29.2948,-0.020399,29.2948,0.138147,29.2948,0.00314187,22.2331,0.065344,34.0846,0.235001,22.2331,0.161969,All
36.4942,0.04444,36.4942,0.181584,36.4942,0.0971572,24.1277,0.064005,39.6995,0.159668,24.1277,0.165358,All
36.6183,0.0444053,36.6183,0.181879,36.6183,0.0970543,25.4004,0.0631056,42.6055,0.130725,25.4004,0.167634,All
43.9418,0.042361,43.9418,0.199328,43.9418,0.0909872,28.2245,0.0611097,51.1264,0.0971174,28.2245,0.172686,All
47.1517,0.041465,47.1517,0.206976,47.1517,0.088328,28.5676,0.0608672,51.6778,0.0967551,28.5676,0.1733,All
51.2652,0.0403167,51.2652,0.216776,51.2652,0.0849201,31.7349,0.0586288,59.6474,0.0916714,31.7349,0.178965,All
58.5887,0.0382724,58.5887,0.234225,58.5887,0.078853,33.0168,0.0577229,67.2703,0.0689407,33.0168,0.181258,All
60.9216,-0.14125,60.9216,0.173105,60.9216,-0.0553348,34.9021,0.0491817,68.1683,0.0653166,34.9021,0.156269,All
65.9121,0.385393,65.9121,0.325879,65.9121,0.24491,38.0694,0.00883215,76.6893,0.0191079,38.0694,0.0517216,All
73.2356,0.236904,73.2356,0.229021,73.2356,0.148366,38.6228,0.00229535,85.2102,-0.0366579,38.6228,0.043678,All
78.7127,0.125852,78.7127,0.156582,78.7127,0.0761609,41.2367,-0.0252317,87.5675,-0.0522733,41.2367,0.02685,All
80.5591,0.0884162,80.5591,0.132163,80.5591,0.0518209,44.4039,-0.0521599,93.7311,-0.0888825,44.4039,0.0127064,All
87.8825,-0.0600721,87.8825,0.0353051,87.8825,-0.0447238,45.1807,-0.0519272,102.252,-0.134917,45.1807,0.0131275,All
95.206,-0.126606,95.206,-0.0440489,95.206,-0.105195,47.5712,-0.0512108,110.773,-0.157563,47.5712,0.0144233,All
101.699,-0.125406,101.699,-0.0213941,101.699,-0.130451,50.7384,-0.0502618,113.989,-0.158614,50.7384,0.0161402,All
102.529,-0.125252,102.529,-0.0184985,102.529,-0.133679,52.852,-0.0496284,119.294,-0.153515,52.852,0.0172859,All
109.853,-0.123899,109.853,0.00705183,109.853,-0.162163,53.9057,-0.0493127,127.815,-0.134492,53.9057,0.0178571,All
117.176,-0.122545,117.176,0.0326022,117.176,-0.190647,57.073,-0.0483636,136.336,-0.113149,57.073,0.019574,All
124.5,-0.121191,124.5,0.0581526,124.5,-0.219131,60.2402,-0.0474146,144.857,-0.102842,60.2402,0.0212909,All
131.399,-0.119916,131.399,0.0822231,131.399,-0.245965,61.8259,-0.0469394,148.382,-0.101332,61.8259,0.0221505,All
131.823,-0.119838,131.823,0.0837029,131.823,-0.247615,63.4075,-0.0464655,153.378,-0.103124,63.4075,0.0230078,All
139.147,-0.118484,139.147,0.109253,139.147,-0.276099,66.5747,-0.0455165,161.899,-0.114682,66.5747,0.0247247,All
146.47,-0.11713,146.47,0.134804,146.47,-0.304583,69.742,-0.0445674,170.42,-0.133047,69.742,0.0264416,All
153.794,-0.100552,153.794,0.160054,153.794,-0.291342,72.3235,-0.0437938,178.941,-0.156909,72.3235,0.027841,All
161.117,-0.0523835,161.117,0.184681,161.117,-0.191525,72.9093,-0.0436183,187.461,-0.182627,72.9093,0.0281585,All
168.441,-0.00421505,168.441,0.209307,168.441,-0.0917074,76.0765,-0.0426693,193.153,-0.199653,76.0765,0.0298754,All
169.772,0.00454255,169.772,0.213785,169.772,-0.0735594,79.2438,-0.0417202,195.982,-0.207854,79.2438,0.0315923,All
175.764,0.0439534,175.764,0.233934,175.764,0.00810987,82.411,-0.0407711,204.503,-0.230058,82.411,0.0333092,All
183.088,-0.0297146,183.088,0.207023,183.088,0.0250688,84.6035,-0.0401142,213.024,-0.248731,84.6035,0.0344977,All
190.411,-0.0674247,190.411,0.249881,190.411,-0.0503137,85.5783,-0.0398221,221.545,-0.263947,85.5783,0.0350261,All
197.734,-0.060237,197.734,0.258648,197.734,-0.0636809,88.7456,-0.038873,230.066,-0.275904,88.7456,0.036743,All
205.058,-0.0530493,205.058,0.267416,205.058,-0.0770481,91.9128,-0.0379239,238.587,-0.28419,91.9128,0.0384599,All
212.381,-0.0458616,212.381,0.276183,212.381,-0.0904152,95.0801,-0.0369749,247.108,-0.290811,95.0801,0.0401768,All
219.351,-0.039021,219.351,0.284528,219.351,-0.103137,98.2473,-0.0360258,251.432,-0.292539,98.2473,0.0418937,All
219.705,-0.0386739,219.705,0.284951,219.705,-0.103782,98.9686,-0.0358097,255.629,-0.293612,98.9686,0.0422847,All
227.028,-0.0314863,227.028,0.293719,227.028,-0.11715,101.415,-0.0350768,264.15,-0.293587,101.415,0.0436106,All
234.352,-0.0242986,234.352,0.302486,234.352,-0.130517,104.582,-0.0341277,272.671,-0.291733,104.582,0.0453275,All
241.675,-0.0171109,241.675,0.311254,241.675,-0.143884,107.749,-0.0331786,281.192,-0.285623,107.749,0.0470444,All
248.999,-0.00584554,248.999,0.297622,248.999,-0.108028,110.916,-0.0322296,289.713,-0.277234,110.916,0.0487613,All
256.322,0.00739868,256.322,0.273121,256.322,-0.0482847,114.084,-0.0312805,298.234,-0.268844,114.084,0.0504782,All
263.646,0.0206429,263.646,0.248619,263.646,0.0114587,115.773,-0.0307743,306.755,-0.258858,115.773,0.0513939,All
270.969,0.0338871,270.969,0.224117,270.969,0.0712021,117.251,-0.0303314,315.276,-0.23816,117.251,0.0521951,All
278.292,0.0311799,278.292,0.22197,278.292,0.200133,120.418,-0.0293824,323.796,-0.217462,120.418,0.053912,All
283.409,0.0201377,283.409,0.220386,283.409,0.166366,123.585,-0.0284333,327.295,-0.208965,123.585,0.0556289,All
285.616,0.015375,285.616,0.219703,285.616,0.151802,126.753,-0.0274842,332.317,-0.196764,126.753,0.0573458,All
292.939,-0.000430017,292.939,0.217435,292.939,0.103472,129.92,-0.0265352,340.838,-0.176066,129.92,0.0590627,All
300.263,-0.016235,300.263,0.215168,300.263,0.0551415,133.087,-0.0255861,349.359,-0.155368,133.087,0.0607796,All
307.586,-0.03204,307.586,0.2129,307.586,0.006811,135.43,-0.024884,357.88,-0.13467,135.43,0.0620497,All
314.91,-0.0478449,314.91,0.210633,314.91,-0.0415195,136.254,-0.0246371,366.401,-0.113972,136.254,0.0624965,All
322.233,-0.0636499,322.233,0.208365,322.233,-0.0898499,139.422,-0.0292807,374.922,-0.0932734,139.422,0.0555298,All
329.557,-0.0794549,329.557,0.206098,329.557,-0.13818,142.589,-0.0577247,383.443,-0.0725752,142.589,0.0116091,All
336.88,-0.0688327,336.88,0.20515,336.88,-0.107654,145.756,-0.0861688,391.964,-0.0518771,145.756,-0.0323116,All
344.204,-0.0432582,344.204,0.20495,344.204,-0.0325114,148.923,-0.114613,400.485,-0.031179,148.923,-0.0762323,All
351.527,-0.0176838,351.527,0.20475,351.527,0.0426314,152.091,-0.143057,409.006,-0.0104808,152.091,-0.120153,All
358.851,0.00789072,358.851,0.204549,358.851,0.117774,155.258,-0.171501,417.527,0.0102173,155.258,-0.164074,All
366.174,0.0982214,366.174,0.176838,366.174,0.395486,158.425,-0.211738,426.048,0.0309154,158.425,-0.221905,All
