id,linearization
1,43.040
2,29.636
3,20.794
4,34.274
5,16.358
6,35.636
7,21.975
8,43.288
9,23.547
10,42.608
11,34.615
12,30.206
13,44.736
14,-1.199
15,24.807
16,17.713
17,20.590
18,37.372
19,4.130
20,44.138
21,47.669
22,19.493
23,35.444
24,32.653
25,31.363
26,26.752
27,38.869
28,26.462
29,19.957
30,22.165
31,32.171
32,62.852
33,20.834
34,29.471
35,13.042
36,30.858
37,33.095
38,11.155
39,28.672
40,22.501
41,16.879
42,29.792
43,25.831
44,43.992
45,31.480
46,14.892
47,33.265
48,21.168
49,43.537
50,15.665
51,8.384
52,14.738
53,27.942
54,8.085
55,12.599
56,36.906
57,41.579
58,24.060
59,6.971
60,16.944
61,23.022
62,-1.594
63,7.127
64,39.404
65,5.781
66,21.868
67,26.974
68,-0.498
