hours,gcsf5,gcsf10,cd34p5,cd34p10,cfugm5,cfugm10,anc5,anc10
0,0,0,3.13725,3.45098,11.71103,9.58175,3837.71924,3837.71924
1,4.91636,10.87112,,,,,,
3,12.03059,23.81067,,,,,6359.64893,2850.8772
6,15.00006,36.74742,,,,,14912.28027,16666.66602
12,3.72149,16.66663,,,,,23135.96484,24122.80664
24,0.45308,1.22979,,,17.56654,20.76046,19627.19336,24232.45703
30,,,18.5098,16.94118,,,,
36,0.16158,0.2915,,,,,15350.87695,20614.03516
48,0,0,,,,,10307.01758,15570.17578
72,,,,,,,6140.35107,8442.98242
96,,,,,23.95437,40.45627,,
102,,,46.7451,74.35294,,,,
126,,,69.01961,67.13725,,,,
144,,,34.5098,83.45098,81.44487,64.94296,,
168,,,25.72549,32.62745,53.76426,63.34601,,
192,,,,,15.43726,40.45627,,
